panel,gross,cadence,band,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,spy_H1,spy_H2,spy_OOS,spy_CAGR,spy_MaxDD,pass4a,pass4b
U56,0.5,W,0.0,0.05450852419745589,1.1713266506837883,-0.0809649788951462,1.1803740842868784,1.1660153496211363,1.263603128533104,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,W,0.02,0.05654251646213093,1.1986641457810376,-0.07985037090920366,1.2031318709187473,1.197916795551546,1.288734976514957,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,W,0.03,0.057502691060181244,1.205799984186222,-0.08117568635177996,1.225537663072102,1.1917346133427735,1.2859085362697582,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,W,0.05,0.05543883324737453,1.149814469943364,-0.08466594695719298,1.1865969592183954,1.1213154194131234,1.2185970177690395,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,W,0.08,0.056826261875706496,1.1504115903333643,-0.0976378045575731,1.2355311502629305,1.081055571195347,1.173709024957135,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,W,0.12,0.05791239849554031,1.1516042012891246,-0.08181036678145326,1.2323637779055892,1.0790067423769893,1.177238121075989,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,W,0.2,0.05703098349534841,1.1161033682998458,-0.08159297236696528,1.1971215464465046,1.0480203687212142,1.1298700131843749,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.0,0.059099010218060855,1.209256165726365,-0.08030100062183876,1.2455889249394725,1.1766397609076318,1.2723713502795697,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.02,0.059951194879000136,1.2092577104778215,-0.08813651348391838,1.235127978701695,1.188232043405589,1.2781472922000603,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.03,0.05911970371146591,1.1752977092127892,-0.09778168275819021,1.2097834144241444,1.1484020568862696,1.2320141421878197,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.05,0.05872395364983651,1.1447686404575275,-0.10937355472129551,1.2072561945630282,1.0976913155363939,1.1844331073857959,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.08,0.058059013455405095,1.0995759425451923,-0.12641378223421673,1.2106081972447926,1.016710174194643,1.1053295210595218,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.12,0.06009841025204943,1.142631909446608,-0.10065692618442246,1.2373202755151607,1.064445846475246,1.1572476141833894,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.5,M,0.2,0.05828943281307897,1.1226385166919384,-0.09538063997913482,1.1907231767393855,1.0703135922656353,1.1475892239859904,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.0,0.08202502414265123,1.1713215419179979,-0.12011679204930847,1.181004403071515,1.1654646035176088,1.263130950297543,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.02,0.08513441878703976,1.1986095810709083,-0.11858553782433634,1.2037271636411038,1.1973109765241223,1.288205488465585,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.03,0.08660060029784411,1.2057639631781307,-0.1205494676867116,1.2262055541154628,1.1911198177449172,1.2853489467147505,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.05,0.0834066934717963,1.1498231853217302,-0.1256730877177472,1.1873765478360827,1.120712428792957,1.2180346346762476,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.08,0.08550931115745986,1.1501116399121616,-0.1446691867564126,1.2361063273996349,1.0801821663398476,1.17281954601351,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.12,0.08716188349209819,1.1515926209462461,-0.12150483874394236,1.2329025787319392,1.0785796884954166,1.1767695950745352,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,W,0.2,0.08579842532240245,1.1166125359771253,-0.12065193433500021,1.1974969676414526,1.048714364877082,1.130496381605592,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.0,0.08918015547918379,1.211067333451998,-0.1182665710114742,1.2476980121984018,1.1781301242191673,1.2738659327604127,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.02,0.09048289957665445,1.2109908927668558,-0.12971876096124701,1.2373948136230857,1.1894586592254377,1.2793751707919885,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.03,0.08919656419661282,1.176823755402634,-0.14381694370256637,1.2118788238460616,1.149441987367395,1.2330051471139878,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.05,0.08857481221785846,1.145882872367092,-0.16068554647733235,1.209134609705781,1.0982902418642595,1.1848720491047389,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.08,0.08752871913176041,1.0995837398034654,-0.18560469503599775,1.2118815069538889,1.0161871066115673,1.1044069035080988,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.12,0.09066082981246049,1.1428295837028535,-0.14844771367273346,1.2379808222683366,1.0645054405109984,1.1569325372672938,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,0.75,M,0.2,0.08786464048756781,1.122904657102975,-0.1407583299215538,1.1910290081349721,1.0707339662636275,1.1477229933295077,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,False
U56,1.0,W,0.0,0.10966982255557478,1.1711825915422245,-0.1583854451870288,1.1815070742703568,1.1647762399582964,1.2625157576379609,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,True
U56,1.0,W,0.02,0.11389223754055289,1.1984169193493277,-0.15652430319629917,1.2041922526864428,1.196562131071771,1.2875287547257954,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,True
U56,1.0,W,0.03,0.115880701816655,1.2055859004001448,-0.15910992922046163,1.226737535315743,1.190360863072926,1.284639508739213,0.956835532356551,0.8342040795161164,0.8821923750254496,0.1522804498656667,-0.33717289200673795,False,True
