source,n_lo,n_hi,n_mid,share_lo,share_hi,lo_ok,hi_ok,n
non-null (this run),8,37,11,0.875,0.4864864864864865,7,18,56
"idea 262 nulls, d0>0",259,183,72,0.6718146718146718,1.0,174,183,514
"idea 262 nulls, all",611,430,135,0.7528641571194763,0.4255813953488372,460,183,1176
