panel,book,cadence,rows,n_nan_returns,nan_idx,nan_dates,max_nan_idx,warmup,inside_warmup,n_nan_weights,n_nan_turnover,repaired_nan_total,lost_turnover_units,lost_charge_bps,tail_dev_engine_vs_repaired
U56,LIVE_v2,D,4708,2,"[0, 1]","[""2008-01-02"", ""2008-01-03""]",1,260,True,56,2,0,0.0,0.0,1.0408340855860843e-17
U56,LIVE_v2,W,4708,2,"[0, 3]","[""2008-01-02"", ""2008-01-07""]",3,260,True,168,2,0,0.0,0.0,6.938893903907228e-18
U56,LIVE_v2,M,4708,2,"[0, 21]","[""2008-01-02"", ""2008-02-01""]",21,260,True,1176,2,0,0.0,0.0,1.3877787807814457e-17
U56,LIVE_v2,Q,4708,2,"[0, 61]","[""2008-01-02"", ""2008-04-01""]",61,260,True,3416,2,0,0.0,0.0,1.3877787807814457e-17
U56,INCUMBENT,D,4708,2,"[0, 1]","[""2008-01-02"", ""2008-01-03""]",1,260,True,56,2,0,0.0,0.0,1.3877787807814457e-17
U56,INCUMBENT,W,4708,2,"[0, 3]","[""2008-01-02"", ""2008-01-07""]",3,260,True,168,2,0,0.0,0.0,2.7755575615628914e-17
U56,INCUMBENT,M,4708,2,"[0, 21]","[""2008-01-02"", ""2008-02-01""]",21,260,True,1176,2,0,0.0,0.0,1.3877787807814457e-17
U56,INCUMBENT,Q,4708,2,"[0, 61]","[""2008-01-02"", ""2008-04-01""]",61,260,True,3416,2,0,0.0,0.0,6.938893903907228e-18
B136,LIVE_v2,D,4708,2,"[0, 1]","[""2008-01-02"", ""2008-01-03""]",1,260,True,136,2,0,0.0,0.0,1.734723475976807e-17
B136,LIVE_v2,W,4708,2,"[0, 3]","[""2008-01-02"", ""2008-01-07""]",3,260,True,408,2,0,0.0,0.0,1.3877787807814457e-17
B136,LIVE_v2,M,4708,2,"[0, 21]","[""2008-01-02"", ""2008-02-01""]",21,260,True,2856,2,0,0.0,0.0,2.7755575615628914e-17
B136,LIVE_v2,Q,4708,2,"[0, 61]","[""2008-01-02"", ""2008-04-01""]",61,260,True,8296,2,0,0.0,0.0,2.7755575615628914e-17
B136,INCUMBENT,D,4708,2,"[0, 1]","[""2008-01-02"", ""2008-01-03""]",1,260,True,136,2,0,0.0,0.0,6.938893903907228e-18
B136,INCUMBENT,W,4708,2,"[0, 3]","[""2008-01-02"", ""2008-01-07""]",3,260,True,408,2,0,0.0,0.0,1.3877787807814457e-17
B136,INCUMBENT,M,4708,2,"[0, 21]","[""2008-01-02"", ""2008-02-01""]",21,260,True,2856,2,0,0.0,0.0,1.3877787807814457e-17
B136,INCUMBENT,Q,4708,2,"[0, 61]","[""2008-01-02"", ""2008-04-01""]",61,260,True,8296,2,0,0.0,0.0,1.3877787807814457e-17
SMALL,LIVE_v2,D,4203,2,"[0, 1]","[""2010-01-04"", ""2010-01-05""]",1,260,True,720,2,0,0.0,0.0,3.469446951953614e-17
SMALL,LIVE_v2,W,4203,2,"[0, 5]","[""2010-01-04"", ""2010-01-11""]",5,260,True,3600,2,0,0.0,0.0,3.469446951953614e-17
SMALL,LIVE_v2,M,4203,2,"[0, 19]","[""2010-01-04"", ""2010-02-01""]",19,260,True,13680,2,0,0.0,0.0,2.7755575615628914e-17
SMALL,LIVE_v2,Q,4203,2,"[0, 61]","[""2010-01-04"", ""2010-04-01""]",61,260,True,43920,2,0,0.0,0.0,4.85722573273506e-17
SMALL,INCUMBENT,D,4203,2,"[0, 1]","[""2010-01-04"", ""2010-01-05""]",1,260,True,720,2,0,0.0,0.0,1.3877787807814457e-17
SMALL,INCUMBENT,W,4203,2,"[0, 5]","[""2010-01-04"", ""2010-01-11""]",5,260,True,3600,2,0,0.0,0.0,1.3877787807814457e-17
SMALL,INCUMBENT,M,4203,2,"[0, 19]","[""2010-01-04"", ""2010-02-01""]",19,260,True,13680,2,0,0.0,0.0,1.3877787807814457e-17
SMALL,INCUMBENT,Q,4203,2,"[0, 61]","[""2010-01-04"", ""2010-04-01""]",61,260,True,43920,2,0,0.0,0.0,1.3877787807814457e-17
