model,n,R2,const,b_e,b_k,t_e,t_k
e only,12,0.4093235769566632,1.6484448277931667,-0.15785662315107793,,,
k only,12,0.46716201346434405,1.4912690950240972,,0.002150719294020224,,
e + k,12,0.6389399175386704,1.5577319878422244,-0.11024280789799468,0.0016255059167703404,,
per-cell slope ~ e + k (clustered on sub-panel),186,0.16974210839577686,1.5814612541565674,-0.14204070840253377,0.0017779855889663353,-1.9373327241178002,2.685930685719188
