panel,N,nullgate,seeds,book_CAGR,book_MaxDD,book_IS_CAGR,book_mean_nsel,null_mean_nsel,null_CAGR_med,null_IS_CAGR_med,EDGE_pp,EDGE_IS_pp,EDGE_se_pp,null_CAGR_sd,null_CAGR_p90,null_CAGR_max,book_pct_of_null,lam_median,null_already_drier,null_raw_CAGR_med,null_raw_MaxDD_med,null_raw_Sharpe_med,null_raw_CAGR_se
U56,5,OPEN,40,0.17827666701103606,-0.25853596305636206,0.1876467906540611,4.733879222108495,5.0,0.11877278538061486,0.11311018235636117,5.95038816304212,7.4536608297699924,0.38286780008427135,0.019320741897459578,0.14185709069646407,0.15175448892234966,1.0,1.0,23,0.12348679549600428,-0.2540802211599478,0.9004719083728809,0.39837226858760116
U56,5,ELIG,40,0.17827666701103606,-0.25853596305636206,0.1876467906540611,4.733879222108495,4.780962128966223,0.10441403758200263,0.1057771586638806,7.386262942903343,8.186963199018049,0.4391615310711406,0.02216150480988765,0.12445897041923781,0.15745847677742253,1.0,1.0,24,0.10787842000163217,-0.24833829437042104,0.8530890705642351,0.35128280212534546
U56,8,OPEN,40,0.16835370055023535,-0.21430270860985456,0.1506137872324902,7.562947799385875,8.0,0.11484457157942052,0.1240975803744887,5.350912897081484,2.651620685800149,0.47886105245581856,0.024164870478030055,0.13808557862748091,0.16905827262742434,0.975,0.8991794943653716,6,0.12838646788038965,-0.23615597100108016,0.9936267952492732,0.3851449056674711
U56,8,ELIG,40,0.16835370055023535,-0.21430270860985456,0.1506137872324902,7.562947799385875,7.62093142272262,0.11179523642716127,0.11635455994374,5.655846412307408,3.4259227288750194,0.35408652298870524,0.01786834598921056,0.1324085473444638,0.14691121042257493,1.0,1.0,26,0.11635967379049994,-0.2034232983128802,0.9970611535416136,0.31522157135055884
U56,10,OPEN,40,0.17124124583736267,-0.20771056362661844,0.16412630251975568,9.438075742067554,10.0,0.10918689507184276,0.11916255082715776,6.205435076551991,4.496375169259792,0.41594394654541067,0.02098987074192648,0.14446643861975023,0.15435221115907694,1.0,0.9056605849816639,6,0.12315355401364969,-0.22761619754043627,0.9842412773438745,0.330527234025389
U56,10,ELIG,40,0.17124124583736267,-0.20771056362661844,0.16412630251975568,9.438075742067554,9.501663254861821,0.10598098539548861,0.11448628301006758,6.526026044187406,4.964001950968811,0.279190599049041,0.014088856527596097,0.12246999916743682,0.14021558360437392,1.0,0.9948715316144953,19,0.10930165582644602,-0.20869617271223168,0.972684076221991,0.25454672689710156
U56,12,OPEN,40,0.17705025292752952,-0.20169232886405797,0.1627932771262759,11.30603889457523,12.0,0.1088484212657731,0.1245846435164567,6.820183166175642,3.8208633609819187,0.33168693897589907,0.016737990860817332,0.13209337510746946,0.15306683571828206,1.0,0.9127516447929405,6,0.1269252954625012,-0.21942440465493318,1.0164618516313366,0.25823490367734003
U56,12,ELIG,40,0.17705025292752952,-0.20169232886405797,0.1627932771262759,11.30603889457523,11.371673490276356,0.10815676145723596,0.11552099022013707,6.889349147029355,4.727228690613883,0.2308679741290991,0.011650341291578735,0.12379524720695075,0.12980441682888366,1.0,0.9849145833077172,18,0.11407502327790664,-0.20454895980010307,1.0308531550971103,0.20812256673691615
U56,15,OPEN,40,0.16995945257623468,-0.20974140506046712,0.14691876816665372,14.096212896622314,15.0,0.11780743374577463,0.11805075612094484,5.215201883046006,2.886801204570888,0.2544304322153045,0.012839378789778066,0.13303141775683788,0.1497722806767139,1.0,0.9307666425533708,11,0.12880207652105014,-0.22400121191715122,1.0277209638134137,0.21682597479046253
U56,15,ELIG,40,0.16995945257623468,-0.20974140506046712,0.14691876816665372,14.096212896622314,14.164329580348005,0.11156968504852871,0.11164167404521053,5.838976752770597,3.5277094121443198,0.21795999148152517,0.010998962927830803,0.12269143234946145,0.1313494380116822,1.0,1.0,24,0.11472194682365866,-0.20100627943491778,1.0168529024183948,0.14835167063588867
