book,key,IS_n,OOS_n,IS_lo,IS_hi,OOS_lo,OOS_hi,IS_mid,OOS_mid,contains,leg,g,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b
1,U56/R620/g0.75/M,8.0,3.0,0.5,0.85,0.5,0.6,0.675,0.55,True,wfa,,,,,,,
2,U56/CAND20/g0.75/M,3.0,2.0,0.75,0.85,0.75,0.8,0.8,0.775,True,wfa,,,,,,,
3,B136/EWALL/g0.75/W,2.0,0.0,0.55,0.6,,,0.575,,False,wfa,,,,,,,
4,U56/EWALL/g0.75/W,3.0,2.0,0.65,0.75,0.6,0.65,0.7,0.625,False,wfa,,,,,,,
5,U56/CAND20/g0.75/W,0.0,2.0,,,0.8,0.85,,0.825,False,wfa,,,,,,,
6,U56/CAND20/g0.80/W,0.0,2.0,,,0.8,0.85,,0.825,False,wfa,,,,,,,
7,B136/CAND20/g0.75/W,0.0,0.0,,,,,,,False,wfa,,,,,,,
8,B136/MA-DG/g0.75/W,0.0,0.0,,,,,,,False,wfa,,,,,,,
9,BSTK100/CAND20/g0.75/W,5.0,0.0,0.6,0.8,,,0.7,,False,wfa,,,,,,,
10,SMALL/CAND20/g0.75/W,0.0,0.0,,,,,,,False,wfa,,,,,,,
1,U56/R620/g0.75/M,,,,,,,,,,wfb,1.0,1.2955565488405492,0.22297617016989002,1.115236620626113,-0.30591861179128976,False,DD
2,U56/CAND20/g0.75/M,,,,,,,,,,wfb,1.0,1.1072232593287505,0.15296388828268115,1.0480968964415174,-0.23641369749552588,False,DD
3,B136/EWALL/g0.75/W,,,,,,,,,,wfb,1.0,1.1480533223119427,0.18387692910888553,1.090675723899892,-0.32721807417003745,False,DD
4,U56/EWALL/g0.75/W,,,,,,,,,,wfb,1.0,1.1115841688138408,0.1834403130268143,1.1290407836579774,-0.2917897943136256,False,DD
5,U56/CAND20/g0.75/W,,,,,,,,,,wfb,1.0,0.9533084064015224,0.14025993675735293,1.0193195576442018,-0.22794312631141533,False,DD
6,U56/CAND20/g0.80/W,,,,,,,,,,wfb,1.0,0.9533084064015224,0.14025993675735293,1.0193195576442018,-0.22794312631141533,False,DD
7,B136/CAND20/g0.75/W,,,,,,,,,,wfb,1.0,0.9846581054654295,0.09963214159984668,0.7342546826730794,-0.22876574761531943,False,"H2,OOS,DD"
8,B136/MA-DG/g0.75/W,,,,,,,,,,wfb,1.0,1.0566120124398404,0.10400057860559109,1.1142238409596295,-0.16630686129757144,False,CAGR
9,BSTK100/CAND20/g0.75/W,,,,,,,,,,wfb,1.0,1.1578495441472452,0.11344379848204977,0.7448466841813152,-0.26587532711492967,False,"H2,OOS,DD"
10,SMALL/CAND20/g0.75/W,,,,,,,,,,wfb,0.2,0.9134465573816448,0.011988545616313573,0.41697911836487894,-0.08745758847986129,False,"H2,OOS,CAGR"
