panel,ladder,stat,committed_peak,my_peak,peak_match,committed_inf,my_inf,my_floor
U56,N,S_FULL,12,12,True,False,False,0.1761523806496179
U56,N,S_OOS,15,15,True,False,False,0.27556027866714705
U56,N,CAGR,5,5,True,True,True,inf
U56,N,DD,20,20,True,False,False,5.684363419230408
U56,H,S_FULL,252,252,True,True,True,inf
U56,H,S_OOS,252,252,True,True,True,inf
U56,H,CAGR,252,252,True,True,True,inf
U56,H,DD,126,126,True,True,True,inf
U56,GROSS,S_FULL,0.75,0.75,True,False,False,0.0007354018676621887
U56,GROSS,S_OOS,0.75,0.75,True,False,False,0.0019207163003902572
U56,GROSS,CAGR,0.75,0.75,True,False,False,1.0380692471477992
U56,GROSS,DD,0.3,0.3,True,False,False,1.1938432556992673
U56,CADENCE,S_FULL,W,W,True,True,True,inf
U56,CADENCE,S_OOS,Q,Q,True,True,True,inf
U56,CADENCE,CAGR,W,W,True,True,True,inf
U56,CADENCE,DD,W,W,True,True,True,inf
B136,N,S_FULL,30,30,True,True,True,inf
B136,N,S_OOS,30,30,True,False,False,0.22338792431073118
B136,N,CAGR,5,5,True,True,True,inf
B136,N,DD,15,15,True,False,False,6.509181522842699
B136,H,S_FULL,21,21,True,True,True,inf
B136,H,S_OOS,252,252,True,True,True,inf
B136,H,CAGR,63,63,True,True,True,inf
B136,H,DD,126,126,True,True,True,inf
B136,GROSS,S_FULL,0.75,0.75,True,False,False,0.00039966707365901577
B136,GROSS,S_OOS,0.75,0.75,True,False,False,0.00046199462908180777
B136,GROSS,CAGR,0.75,0.75,True,False,False,1.0702988360427712
B136,GROSS,DD,0.3,0.3,True,False,False,1.2864280606593717
B136,CADENCE,S_FULL,M,M,True,True,True,inf
B136,CADENCE,S_OOS,M,M,True,True,True,inf
B136,CADENCE,CAGR,M,M,True,False,True,inf
B136,CADENCE,DD,W,W,True,True,True,inf
