model,n,R2,b[log_scale],t[log_scale],b[is_D],t[is_D]
log_scale,648,0.017679304015717934,-0.0049656782390576915,-2.9850279578496437,,
D dummy,648,0.02313132795262618,,,0.02606125181900472,3.5432139265746523
log_scale + D dummy,648,0.032199402431319135,-0.004111803974445384,-2.4545398238019476,0.023069380118643124,3.1059704780492616
