band,cash,n,pass_4b,leg_sharpe,leg_halves,leg_dd,leg_cagr,cagr_med,spy_cagr_med,dd_med,slope,binding,min_leg
0.0,0,176,0.3522727272727273,0.8579545454545454,0.4602272727272727,0.7102272727272727,0.625,0.09927942712759519,0.13740649561420726,-0.09458910440813167,0.45139560587504624,leg_halves,0.4602272727272727
0.0,150,176,0.4375,0.9147727272727273,0.5568181818181818,0.8636363636363636,0.7045454545454546,0.10469782758328228,0.13740649561420726,-0.08834731554548902,0.4425987928639203,leg_halves,0.5568181818181818
0.0,300,176,0.5170454545454546,0.9431818181818182,0.6534090909090909,0.8636363636363636,0.7613636363636364,0.10999708086761073,0.13740649561420726,-0.084973068247721,0.4338490595854313,leg_halves,0.6534090909090909
0.0,500,176,0.5397727272727273,0.9715909090909091,0.6875,0.8636363636363636,0.8125,0.11727477812678533,0.13740649561420726,-0.08233724706414358,0.4222547045717127,leg_halves,0.6875
0.01,0,176,0.3693181818181818,0.9034090909090909,0.4943181818181818,0.8636363636363636,0.6931818181818182,0.10277368392290942,0.13740649561420726,-0.09174420047610254,0.4686202690167583,leg_halves,0.4943181818181818
0.01,150,176,0.4602272727272727,0.9375,0.5795454545454546,0.8636363636363636,0.7727272727272727,0.10788163512807947,0.13740649561420726,-0.09102008224725955,0.4599159482603562,leg_halves,0.5795454545454546
0.01,300,176,0.5511363636363636,0.9545454545454546,0.6818181818181818,0.8636363636363636,0.8068181818181818,0.11324270226402122,0.13740649561420726,-0.08490159743257952,0.4512583834001069,leg_halves,0.6818181818181818
0.01,500,176,0.625,0.9886363636363636,0.7670454545454546,0.8636363636363636,0.8352272727272727,0.11931706330542668,0.13740649561420726,-0.08186468788302792,0.43978648400567005,leg_halves,0.7670454545454546
0.02,0,176,0.36363636363636365,0.9204545454545454,0.4772727272727273,0.8636363636363636,0.6988636363636364,0.10400434083643773,0.13740649561420726,-0.09280440601738638,0.45996633251492297,leg_halves,0.4772727272727273
0.02,150,176,0.4659090909090909,0.9318181818181818,0.5681818181818182,0.8636363636363636,0.7840909090909091,0.10906764951239845,0.13740649561420726,-0.0858847217494253,0.45127487092584445,leg_halves,0.5681818181818182
0.02,300,176,0.5,0.9602272727272727,0.6363636363636364,0.8636363636363636,0.8125,0.11480186186123997,0.13740649561420726,-0.0839680925637789,0.4426295660841749,leg_halves,0.6363636363636364
0.02,500,176,0.6193181818181818,0.9886363636363636,0.7613636363636364,0.8636363636363636,0.8579545454545454,0.1215647479112818,0.13740649561420726,-0.08390974096414006,0.4311730803616753,leg_halves,0.7613636363636364
0.03,0,176,0.3977272727272727,0.9147727272727273,0.5170454545454546,0.8636363636363636,0.7272727272727273,0.10646926893273512,0.13740649561420726,-0.09115206052504787,0.43501182997817295,leg_halves,0.5170454545454546
0.03,150,176,0.4659090909090909,0.9431818181818182,0.5909090909090909,0.8636363636363636,0.7784090909090909,0.11157516865665773,0.13740649561420726,-0.08553712054380203,0.42717834348684747,leg_halves,0.5909090909090909
0.03,300,176,0.5,0.9545454545454546,0.6477272727272727,0.8636363636363636,0.8068181818181818,0.11699591851619728,0.13740649561420726,-0.0838301701303672,0.4193850211547552,leg_halves,0.6477272727272727
0.03,500,176,0.5625,0.9886363636363636,0.6988636363636364,0.8636363636363636,0.8522727272727273,0.12325282696843742,0.13740649561420726,-0.08377726080326486,0.4090553364712355,leg_halves,0.6988636363636364
0.05,0,176,0.32386363636363635,0.8636363636363636,0.4431818181818182,0.8636363636363636,0.5965909090909091,0.1034118718047542,0.13740649561420726,-0.10282646818255248,0.42849936620524764,leg_halves,0.4431818181818182
0.05,150,176,0.3977272727272727,0.9204545454545454,0.5227272727272727,0.8636363636363636,0.6534090909090909,0.1089591305492027,0.13740649561420726,-0.10060634857288586,0.4212972931539608,leg_halves,0.5227272727272727
0.05,300,176,0.4715909090909091,0.9659090909090909,0.6136363636363636,0.8636363636363636,0.7840909090909091,0.11401911268565113,0.13740649561420726,-0.09748435008761547,0.41412580992228265,leg_halves,0.6136363636363636
0.05,500,176,0.5284090909090909,0.9886363636363636,0.6875,0.8636363636363636,0.8465909090909091,0.12175326987807189,0.13740649561420726,-0.09562930229845368,0.40461077025573516,leg_halves,0.6875
0.08,0,176,0.32954545454545453,0.8522727272727273,0.5568181818181818,0.5795454545454546,0.6022727272727273,0.10745402076957267,0.13740649561420726,-0.11095544855534845,0.4080018297877858,leg_halves,0.5568181818181818
0.08,150,176,0.36363636363636365,0.9318181818181818,0.5965909090909091,0.5795454545454546,0.6704545454545454,0.11294724874377993,0.13740649561420726,-0.10960154460731586,0.40306892937900857,leg_dd,0.5795454545454546
0.08,300,176,0.3693181818181818,0.9602272727272727,0.6477272727272727,0.7329545454545454,0.7329545454545454,0.11790746846925992,0.13740649561420726,-0.10826528349607323,0.39815279653758195,leg_halves,0.6477272727272727
0.08,500,176,0.3977272727272727,0.9886363636363636,0.6875,0.7329545454545454,0.8352272727272727,0.12575282118473807,0.13740649561420726,-0.10651022176364999,0.39162384952012774,leg_halves,0.6875
