book,panel,tiling,L,L_months,is_full,cost,n_blocks,inside_share,callable_share,med_absz,med_d,leg_share,first_end,last_end
K1,U56,OVERLAP21,126,6.0,False,10,206,0.9854368932038835,0.014563106796116505,0.6768573445236925,-0.004176037681276171,0.46601941747572817,2009-07-14,2026-08-25
K1,U56,OVERLAP21,189,9.0,False,10,203,0.9950738916256158,0.0049261083743842365,0.6609460923164088,-0.0010186127408002565,0.4827586206896552,2009-10-12,2026-08-25
K1,U56,OVERLAP21,252,12.0,False,10,200,0.995,0.005,0.5838868257172054,0.0023125987914324082,0.525,2010-01-12,2026-08-25
K1,U56,OVERLAP21,315,15.0,False,10,197,1.0,0.0,0.5078030065523841,0.004932741068946759,0.5736040609137056,2010-04-14,2026-08-25
K1,U56,OVERLAP21,378,18.0,False,10,194,1.0,0.0,0.4277605104182093,0.005626429494380662,0.6185567010309279,2010-07-14,2026-08-25
K1,U56,OVERLAP21,504,24.0,False,10,188,1.0,0.0,0.3638880295986687,0.006606039716896949,0.7340425531914894,2011-01-11,2026-08-25
K1,U56,OVERLAP21,630,30.0,False,10,182,1.0,0.0,0.4086612462913879,0.008586177650431258,0.7857142857142857,2011-07-13,2026-08-25
K1,U56,OVERLAP21,756,36.0,False,10,176,1.0,0.0,0.5363475431089797,0.011537852313564575,0.8181818181818182,2012-01-11,2026-08-25
K1,U56,OVERLAP21,1008,48.0,False,10,164,1.0,0.0,0.6022798245483816,0.01175126487633383,0.9390243902439024,2013-01-14,2026-08-25
K1,U56,OVERLAP21,1260,60.0,False,10,152,1.0,0.0,0.6713179317028855,0.012598508293479856,0.9407894736842105,2014-01-14,2026-08-25
K1,U56,OVERLAP21,1512,72.0,False,10,140,1.0,0.0,0.74302826296618,0.012988904745596674,0.9785714285714285,2015-01-14,2026-08-25
K1,U56,OVERLAP21,2016,96.0,False,10,116,1.0,0.0,0.9390361665180569,0.014135101496246676,0.9913793103448276,2017-01-13,2026-08-25
