CLAIM_SET,N,SAT_CEIL,SAT_FLOOR,SAT_ANY,STATES_K,ADJUD,ADJUD_AND_SAT,OVERQUOTED,CEIL_STATES_K,CEIL_NO_K
C_STRICT,104,26,10,31,40,86,23,22,19,7
C_PROX,264,26,10,31,82,196,23,22,19,7
C_ALL,1742,36,12,43,400,1117,29,25,20,16
