panel,episode_set,estimator,n,dd_pass,beta_pass,agree,best_agree,beta_star,spearman_beta_dd,n_pairs,n_disagree,pair_disagree,rho_S_is_oos,rho_P_is_oos,n_is_oos,median_beta
U56,E5,FIXED,80,66,71,0.9375,1.0,0.49723094779831467,-0.916729182295574,209,0,0.0,0.9739730053179396,0.9811456408937308,80,0.2745698187823892
U56,E5,SPYDD,80,66,66,1.0,1.0,0.6105078144717725,-0.8256893786235718,206,0,0.0,-0.1816938873087033,-0.019635142108820166,80,0.2849724789687379
U56,E5,DDWIN,72,66,60,1.0,1.0,0.6148811469161815,-0.8568487705733164,179,0,0.0,0.7312583881478584,0.6957819628250692,68,0.30136575260198195
U56,E5,FULL,80,66,66,1.0,1.0,0.6064975484695228,-0.9265988372093025,166,0,0.0,0.9947252438109531,0.9914079450510042,80,0.3560492524478185
U56,E5,DOWN,80,66,67,0.9875,1.0,0.5809586942563536,-0.9247702550637661,181,0,0.0,0.9904116654163542,0.9893825512026879,80,0.34002924311717164
U56,E3,FIXED,80,66,78,0.85,1.0,0.4274758409337351,-0.886932670667667,231,1,0.004329004329004329,0.9396689341835532,0.9372927794107657,80,0.23382154450368758
U56,E3,SPYDD,80,66,66,1.0,1.0,0.6105078144717725,-0.8256893786235718,206,0,0.0,-0.1816938873087033,-0.019635142108820166,80,0.2849724789687379
U56,E3,DDWIN,72,66,60,1.0,1.0,0.6148811469161815,-0.8568487705733164,179,0,0.0,0.7312583881478584,0.6957819628250692,68,0.30136575260198195
U56,E3,FULL,80,66,66,1.0,1.0,0.6064975484695228,-0.9265988372093025,166,0,0.0,0.9947252438109531,0.9914079450510042,80,0.3560492524478185
U56,E3,DOWN,80,66,67,0.9875,1.0,0.5809586942563536,-0.9247702550637661,181,0,0.0,0.9904116654163542,0.9893825512026879,80,0.34002924311717164
U56,E5W,FIXED,80,66,71,0.9375,1.0,0.49414986064974,-0.9187687546886725,202,0,0.0,0.9787329003557254,0.9832585838472426,80,0.27902156879660955
U56,E5W,SPYDD,80,66,66,1.0,1.0,0.6105078144717725,-0.8256893786235718,206,0,0.0,-0.1816938873087033,-0.019635142108820166,80,0.2849724789687379
U56,E5W,DDWIN,72,66,60,1.0,1.0,0.6148811469161815,-0.8568487705733164,179,0,0.0,0.7312583881478584,0.6957819628250692,68,0.30136575260198195
U56,E5W,FULL,80,66,66,1.0,1.0,0.6064975484695228,-0.9265988372093025,166,0,0.0,0.9947252438109531,0.9914079450510042,80,0.3560492524478185
U56,E5W,DOWN,80,66,67,0.9875,1.0,0.5809586942563536,-0.9247702550637661,181,0,0.0,0.9904116654163542,0.9893825512026879,80,0.34002924311717164
U56,BEAR10,FIXED,80,66,78,0.85,1.0,0.43061996641970424,-0.9066954238559641,226,2,0.008849557522123894,0.969213110280154,0.9697854762926645,80,0.23788401165951523
U56,BEAR10,SPYDD,80,66,66,1.0,1.0,0.6105078144717725,-0.8256893786235718,206,0,0.0,-0.1816938873087033,-0.019635142108820166,80,0.2849724789687379
U56,BEAR10,DDWIN,72,66,60,1.0,1.0,0.6148811469161815,-0.8568487705733164,179,0,0.0,0.7312583881478584,0.6957819628250692,68,0.30136575260198195
