HEADLINE_SET,TRACE_RULE,headlines,traced,traced_share,untraced,surv_NONZERO,surv_ZERO,surv_AMBIG,nonzero_share_of_traced
H_STRICT,T_IDNUM,2557,1014,0.3965584669534611,1543,126,219,669,0.1242603550295858
H_STRICT,T_FRAC,2557,1440,0.5631599530700039,1117,126,87,1227,0.0875
H_STRICT,T_ANY,2557,1825,0.7137270238560813,732,127,154,1544,0.06958904109589041
H_LOOSE,T_IDNUM,4761,2043,0.42911153119092627,2718,253,473,1317,0.12383749388154675
H_LOOSE,T_FRAC,4761,2807,0.589582020583911,1954,210,175,2422,0.07481296758104738
H_LOOSE,T_ANY,4761,3555,0.7466918714555766,1206,232,327,2996,0.06526019690576652
H_NUM,T_IDNUM,8655,3550,0.4101675332177932,5105,441,797,2312,0.12422535211267606
H_NUM,T_FRAC,8655,5224,0.603581744656268,3431,360,316,4548,0.06891271056661562
H_NUM,T_ANY,8655,6458,0.746158290005777,2197,404,543,5511,0.06255806751316197
