statistic,char,n,sign_agree,agree_share,rank_corr_AB,meanA,tA,meanB,tB,both_sig_same_sign
marginal,breadth,27,10/27,0.37037037037037035,-0.24847374847374848,0.013239330728670975,0.9462540808489792,-0.14242377505113638,-7.778934913769273,False
marginal,disp,27,21/27,0.7777777777777778,-0.1581196581196581,0.25138876025233353,11.49413002515764,0.11310549226637033,4.430553760567468,True
marginal,corr,27,26/27,0.9629629629629629,0.16727716727716724,-0.2680086032128266,-10.837036726033825,-0.12111800603048174,-7.789044890316584,True
marginal,evol,27,22/27,0.8148148148148148,-0.4157509157509158,0.2731746472785651,20.622883944681995,0.14902699309478976,5.615291197554523,True
partial,breadth,27,5/27,0.18518518518518517,-0.278998778998779,0.06277343826054303,3.9835130179482396,-0.13312263815882336,-6.543207676301303,False
partial,disp,27,9/27,0.3333333333333333,-0.2503052503052503,0.004613599330845081,0.1588290149592228,-0.014799584850018335,-0.5604796479981594,False
partial,corr,27,20/27,0.7407407407407407,-0.04395604395604395,-0.2180314565236394,-10.679136885206646,-0.09781248464000811,-5.0411576534905205,True
partial,evol,27,19/27,0.7037037037037037,-0.3003663003663003,0.15508973486149247,6.62795907333055,0.1064025866675953,4.122710562031453,True
joint_t,breadth,27,5/27,0.18518518518518517,-0.55006105006105,0.457868837506278,4.236654931992005,-0.9806393817043962,-6.414742983927798,False
joint_t,disp,27,9/27,0.3333333333333333,-0.28876678876678874,-0.06098507750903534,-0.30790846784707826,-0.35987388082661703,-1.9916811434327844,False
joint_t,corr,27,22/27,0.8148148148148148,0.28083028083028083,-1.5978720348843052,-9.649552939012297,-0.8313853378650234,-5.853758267587512,True
joint_t,evol,27,19/27,0.7037037037037037,-0.15262515262515264,1.2736227566834488,6.431432175053657,0.9552940012432531,4.837246442111268,True
