book,vintage,construction,dSharpe,dCAGR,dMaxDD,bars_cleared,verdict4b_true,verdict4b_trunc,flip
LIVE,v1,BREAK,-0.22596861922883194,-0.027505411278991643,0.004140540489714684,none,False,False,False
LIVE,v2,BREAK,-0.2225589432938454,-0.027283963684479495,0.004140477560552025,none,False,False,False
LIVE,v3,same,7.441241434147372e-07,1.4491227995350187e-08,9.466347083986193e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",False,False,False
LIVE,v4,same,-6.278245870294796e-06,-5.208833722125661e-07,2.8633463822202998e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",False,False,False
LIVE,v5,same,-8.657560934821618e-08,-1.3532871490085085e-08,-1.5921979734656588e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",False,False,False
LIVE,v6,same,-1.3901360085277759e-07,-2.0789829635603496e-08,-2.1826287888160323e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",False,False,False
LIVE,v7,same,-1.7030781243043691e-06,-1.4645584611727713e-07,-9.661175415232037e-09,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",False,False,False
LIVE,v8,same,0.0,0.0,0.0,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",False,False,False
CAND20,v1,BREAK,-0.13214183590134299,-0.03132667985962967,0.017397908176331023,none,True,True,False
CAND20,v2,BREAK,-0.1289966659402232,-0.03097938157029967,0.017397865367662968,none,True,True,False
CAND20,v3,same,0.0002887728696239211,3.68625177544768e-05,1.4075096343990623e-07,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",True,True,False
CAND20,v4,same,0.00028895141530194124,3.689863647382552e-05,-1.2993320330778602e-07,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",True,True,False
CAND20,v5,same,0.0002901233433938444,3.70793998252239e-05,-5.5050203506823436e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",True,True,False
CAND20,v6,same,0.00028943625007071816,3.6959141116676975e-05,-1.3368265716628969e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",True,True,False
CAND20,v7,same,0.0002884817871906531,3.6849977783415255e-05,-2.4893940797632297e-08,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",True,True,False
CAND20,v8,same,0.0,0.0,0.0,"5e-04,1e-03,5e-03,1e-02,2e-02,5e-02",True,True,False
