panel,anchor,ladder,rung,N,H,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,A,N,5,5,126,0.75,W,0.17793757695658097,0.9844672527247917,-0.258535970580156,1.1944183705410534,0.8264057018183052,0.17000779023074863,0.8977370957234518,-0.2585359705801554,False,False,False
U56,A,N,8,8,126,0.75,W,0.167674755222613,1.0507116386474669,-0.21430271256523992,1.1455056751874058,0.980266609287792,0.18190354907192652,1.073457924377373,-0.21430271256524025,False,False,False
U56,A,N,10,10,126,0.75,W,0.1706480647095283,1.1092301119509238,-0.20771054445737924,1.2457978590633876,0.9986903305172743,0.17604215688083014,1.0897021911713625,-0.20771054445737946,False,False,False
U56,A,N,12,12,126,0.75,W,0.17646035242733382,1.1658271282899377,-0.20169231264867649,1.2740795522633954,1.0832509975372857,0.1878271090266901,1.1700516353786503,-0.2016923126486767,False,True,True
U56,A,N,15,15,126,0.75,W,0.16958558531679246,1.1599652122514765,-0.20974143218869634,1.2511741334706714,1.102386879512554,0.18857326412542164,1.186920783688038,-0.20974143218869623,False,False,False
U56,A,N,20,20,126,0.75,W,0.1555201865472391,1.1380787773059988,-0.19127561830465034,1.2049090144051569,1.0931595911075942,0.16919746270303992,1.1615297831443132,-0.19127561830465012,False,True,True
U56,A,N,25,25,126,0.75,W,0.14860281762233263,1.1265373356351072,-0.21158705952148094,1.2030104005635307,1.0777612445503053,0.1637065279415142,1.1545449387263544,-0.21158705952148082,False,False,False
U56,A,N,30,30,126,0.75,W,0.13973234708498627,1.0983935642642018,-0.22068524196589911,1.159679015878997,1.0632867824181271,0.15485252524923676,1.128909896782526,-0.22068524196589956,False,False,False
U56,A,N,40,40,126,0.75,W,0.13426425475231962,1.1244963158326498,-0.22984197733835132,1.2712686055155562,1.0215963776402637,0.13939367595266128,1.0944875184055334,-0.22984197733835132,False,False,False
U56,A,H,21,20,21,0.75,W,0.1431010106865842,1.1123012095249802,-0.2024163164242747,1.2103411620619398,1.0437602469829863,0.15308885804711703,1.1116898505481745,-0.2024163164242747,False,False,False
U56,A,H,63,20,63,0.75,W,0.1490914253874518,1.098916591968279,-0.25692124189441945,1.1987394994632594,1.0360340120682807,0.1618190957285448,1.1004383395627895,-0.25692124189441967,False,False,False
U56,A,H,252,20,252,0.75,W,0.1585163052982983,1.1627959847072171,-0.21843530966689795,1.2243355806755367,1.1224495543838249,0.1724794135310166,1.1896697256659177,-0.21843530966689817,False,False,False
U56,A,GROSS,0.3,20,126,0.3,W,0.06167183543315402,1.1362956420701376,-0.07990335554891148,1.2032865443333627,1.0910660690418807,0.06692878140314584,1.1594224522798233,-0.07990335554891137,False,False,False
U56,A,GROSS,0.35,20,126,0.35,W,0.07203508923237978,1.1365328793563176,-0.09276264906597609,1.2035083248100917,1.0913339404149527,0.0781979998506217,1.1596940904534663,-0.09276264906597576,False,False,False
U56,A,GROSS,0.4,20,126,0.4,W,0.08241840158701308,1.136760967752322,-0.10549271071234223,1.203720554886396,1.0915934450913114,0.0894952462819254,1.1599570365136325,-0.10549271071234234,False,False,False
U56,A,GROSS,0.45,20,126,0.45,W,0.09282018957403304,1.1369803292223517,-0.11809419746843397,1.2039236916293574,1.0918449949085305,0.10081870113980118,1.1602115227427585,-0.11809419746843308,False,False,False
U56,A,GROSS,0.5,20,126,0.5,W,0.10323877382351365,1.137190491592021,-0.13056770565714293,1.2041173491952375,1.0920880487144644,0.11216639683346075,1.1604566382702834,-0.13056770565714304,False,False,True
U56,A,GROSS,0.55,20,126,0.55,W,0.1136723348548292,1.1373901054217799,-0.1429145056741674,1.2043006510004512,1.0923208893974696,0.12353623221445642,1.1606908785358891,-0.1429145056741673,False,True,True
U56,A,GROSS,0.6,20,126,0.6,W,0.12411909391210885,1.137578906405842,-0.15513474393540005,1.2044710215373224,1.0925451291031891,0.13492641145125295,1.160916054216475,-0.15513474393540005,False,True,True
U56,A,GROSS,0.65,20,126,0.65,W,0.13457723979195024,1.1377568129368245,-0.16728466554095578,1.2046293402028594,1.092759890914496,0.14633476568031822,1.161131123044172,-0.1672846655409559,False,True,True
