grid,sweep_pts,PLATEAU,C1,C2,THIN,FLIP1,adopted_pass4b,med_plateau_frac,med_step_delta,med_plateau_w_pp,med_thin_pp,med_flip_pp,n_flip_finite
PUB,5,7,0,0,0,0,2,1.0,0.0034748595136878946,8.0,40.07423550110882,5.0,1
FINE,17,8,0,0,0,0,2,1.0,0.0008553308591348063,8.0,72.01265547270836,3.0,1
WIDE,25,8,0,0,0,0,2,1.0,0.0007429121236564584,12.0,72.01265547270836,5.5,2
