se_basis,L,bar,moves,meanOOS,n4b,n,n4b_both,n4a
S_BLOCK,21,BAR_HONEST,6,0.8381143154481924,2,24,2,0
S_BLOCK,21,BAR_QUOTED,6,0.8381143154481924,2,24,2,0
S_BLOCK,63,BAR_HONEST,6,0.8554092105651727,2,24,2,0
S_BLOCK,63,BAR_QUOTED,6,0.8554092105651727,2,24,2,0
S_BLOCK,126,BAR_HONEST,6,0.8531339853628724,2,24,2,0
S_BLOCK,126,BAR_QUOTED,7,0.8411856066993558,2,24,2,0
S_BLOCK,252,BAR_HONEST,6,0.8531339853628724,2,24,2,0
S_BLOCK,252,BAR_QUOTED,8,0.844034960930487,2,24,2,0
S_BLOCK,504,BAR_HONEST,12,0.85431350794879,2,24,2,0
S_BLOCK,504,BAR_QUOTED,15,0.8497798483678318,2,24,2,0
S_FOLD,21,BAR_HONEST,8,0.8419200405573446,2,24,2,0
S_FOLD,21,BAR_QUOTED,3,0.8545788336154989,2,24,2,0
S_FOLD,63,BAR_HONEST,7,0.8460491896745692,2,24,2,0
S_FOLD,63,BAR_QUOTED,4,0.8576501248666624,2,24,2,0
S_FOLD,126,BAR_HONEST,5,0.857510382168683,2,24,2,0
S_FOLD,126,BAR_QUOTED,5,0.857510382168683,2,24,2,0
S_FOLD,252,BAR_HONEST,7,0.8608239500923714,2,24,2,0
S_FOLD,252,BAR_QUOTED,7,0.8608239500923714,2,24,2,0
S_FOLD,504,BAR_HONEST,14,0.8660408742092152,2,24,2,0
S_FOLD,504,BAR_QUOTED,16,0.8545320318413121,2,24,2,0
S_IID,21,BAR_HONEST,5,0.8373095546073478,2,24,2,0
S_IID,21,BAR_QUOTED,5,0.8373095546073478,2,24,2,0
S_IID,63,BAR_HONEST,5,0.8373095546073478,2,24,2,0
S_IID,63,BAR_QUOTED,5,0.8373095546073478,2,24,2,0
S_IID,126,BAR_HONEST,5,0.8373095546073478,2,24,2,0
S_IID,126,BAR_QUOTED,5,0.8373095546073478,2,24,2,0
S_IID,252,BAR_HONEST,5,0.8425840566956943,2,24,2,0
S_IID,252,BAR_QUOTED,5,0.8425840566956943,2,24,2,0
S_IID,504,BAR_HONEST,6,0.8357687632630362,2,24,2,0
S_IID,504,BAR_QUOTED,6,0.8357687632630362,2,24,2,0
S_NW,21,BAR_HONEST,4,0.8498016976534908,2,24,2,0
S_NW,21,BAR_QUOTED,4,0.8498016976534908,2,24,2,0
S_NW,63,BAR_HONEST,6,0.8554092105651727,2,24,2,0
S_NW,63,BAR_QUOTED,6,0.8554092105651727,2,24,2,0
S_NW,126,BAR_HONEST,6,0.8554092105651727,2,24,2,0
S_NW,126,BAR_QUOTED,6,0.8554092105651727,2,24,2,0
S_NW,252,BAR_HONEST,7,0.858258564796304,2,24,2,0
S_NW,252,BAR_QUOTED,7,0.858258564796304,2,24,2,0
S_NW,504,BAR_HONEST,10,0.864157779695144,2,24,2,0
S_NW,504,BAR_QUOTED,12,0.8577793514954024,2,24,2,0
