panel,lam,selector,book,IS_Sharpe,OOS_Sharpe,full_Sharpe,full_CAGR,full_MaxDD,H1,H2,OOS_CAGR,OOS_MaxDD,v2_OOS_Sharpe,spy_OOS_Sharpe,beats_v2,beats_spy,pass4a,pass4b
U56,0.001,RESID,100,0.876672903952022,1.0665789716618577,0.97469010163204,0.18476893802435868,-0.3426746063196032,0.876672903952022,1.0665789716618577,0.21379026483668673,-0.34267460631960345,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.001,RAW_IS_SHARPE,55,1.6254613366870656,1.1658881674193946,1.346793051454685,0.22289287228431998,-0.29023215297490035,1.6254613366870656,1.1658881674193946,0.2252042150704734,-0.29023215297490046,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.001,SD,82,1.0899041263351832,0.868662574249632,0.9736794968344367,0.1415946480127075,-0.2582809453114834,1.0899041263351832,0.868662574249632,0.137783283326951,-0.2582809453114835,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.01,RESID,100,0.876672903952022,1.0665789716618577,0.97469010163204,0.18476893802435868,-0.3426746063196032,0.876672903952022,1.0665789716618577,0.21379026483668673,-0.34267460631960345,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.01,RAW_IS_SHARPE,55,1.6254613366870656,1.1658881674193946,1.346793051454685,0.22289287228431998,-0.29023215297490035,1.6254613366870656,1.1658881674193946,0.2252042150704734,-0.29023215297490046,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.01,SD,82,1.0899041263351832,0.868662574249632,0.9736794968344367,0.1415946480127075,-0.2582809453114834,1.0899041263351832,0.868662574249632,0.137783283326951,-0.2582809453114835,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.1,RESID,100,0.876672903952022,1.0665789716618577,0.97469010163204,0.18476893802435868,-0.3426746063196032,0.876672903952022,1.0665789716618577,0.21379026483668673,-0.34267460631960345,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.1,RAW_IS_SHARPE,55,1.6254613366870656,1.1658881674193946,1.346793051454685,0.22289287228431998,-0.29023215297490035,1.6254613366870656,1.1658881674193946,0.2252042150704734,-0.29023215297490046,1.278836537597142,0.8757783801289708,False,True,False,False
U56,0.1,SD,82,1.0899041263351832,0.868662574249632,0.9736794968344367,0.1415946480127075,-0.2582809453114834,1.0899041263351832,0.868662574249632,0.137783283326951,-0.2582809453114835,1.278836537597142,0.8757783801289708,False,True,False,False
U56,1.0,RESID,99,1.3706405964829012,1.1457855719829275,1.2357085719998204,0.16942465955331398,-0.25283546609312424,1.3706405964829012,1.1457855719829275,0.1776588382377855,-0.2528354660931247,1.278836537597142,0.8757783801289708,False,True,False,False
