t,TP,FP,FN,TN,n,precision,recall,accuracy,overfires,misses,rule
0.0,1653,3037,0,3839,8529,0.35245202558635397,1.0,0.6439207410012897,3037,0,STRICT
0.1,1653,2457,0,4419,8529,0.4021897810218978,1.0,0.711924023918396,2457,0,STRICT
0.25,1653,1963,0,4913,8529,0.4571349557522124,1.0,0.7698440614374487,1963,0,STRICT
0.5,1653,1428,0,5448,8529,0.5365141187925998,1.0,0.8325712275765037,1428,0,STRICT
0.75,1653,1049,0,5827,8529,0.6117690599555885,1.0,0.8770078555516473,1049,0,STRICT
0.9,1653,774,0,6102,8529,0.681087762669963,1.0,0.9092507914175167,774,0,STRICT
1.0,1651,681,2,6195,8529,0.7079759862778731,0.9987900786448881,0.9199202720131316,681,2,STRICT
1.1,1610,579,43,6297,8529,0.7354956601187757,0.9739866908650938,0.927072341423379,579,43,STRICT
1.25,1563,494,90,6382,8529,0.7598444336412251,0.9455535390199638,0.9315277289248447,494,90,STRICT
1.5,1441,397,212,6479,8529,0.7840043525571273,0.8717483363581368,0.9285965529370384,397,212,STRICT
2.0,1198,289,455,6587,8529,0.8056489576328177,0.7247428917120388,0.9127682026028843,289,455,STRICT
3.0,964,187,689,6689,8529,0.8375325803649001,0.5831820931639443,0.8972915933872669,187,689,STRICT
4.0,791,146,862,6730,8529,0.8441835645677694,0.4785238959467635,0.8818149841716497,146,862,STRICT
5.0,650,125,1003,6751,8529,0.8387096774193549,0.3932244404113733,0.8677453394301794,125,1003,STRICT
7.5,375,86,1278,6790,8529,0.8134490238611713,0.22686025408348456,0.8400750381052878,86,1278,STRICT
10.0,313,60,1340,6816,8529,0.839142091152815,0.18935269207501512,0.8358541446828468,60,1340,STRICT
20.0,174,33,1479,6843,8529,0.8405797101449275,0.10526315789473684,0.8227224762574745,33,1479,STRICT
50.0,91,23,1562,6853,8529,0.7982456140350878,0.055051421657592255,0.81416344237308,23,1562,STRICT
100.0,53,19,1600,6857,8529,0.7361111111111112,0.03206291591046582,0.8101770430296635,19,1600,STRICT
1000000000.0,9,15,1644,6861,8529,0.375,0.0054446460980036296,0.8054871614491734,15,1644,STRICT
0.0,1808,3300,0,4640,9748,0.35395458104933436,1.0,0.6614690192860074,3300,0,LOOSE
0.1,1808,2667,0,5273,9748,0.4040223463687151,1.0,0.7264054164956915,2667,0,LOOSE
0.25,1808,2090,0,5850,9748,0.4638276038994356,1.0,0.7855970455478046,2090,0,LOOSE
0.5,1808,1523,0,6417,9748,0.5427799459621735,1.0,0.8437628231432088,1523,0,LOOSE
0.75,1808,1114,0,6826,9748,0.6187542778918549,1.0,0.8857201477226098,1114,0,LOOSE
0.9,1808,823,0,7117,9748,0.6871911820600533,1.0,0.9155724251128436,823,0,LOOSE
1.0,1806,721,2,7219,9748,0.7146814404432132,0.9988938053097345,0.9258309396799344,721,2,LOOSE
1.1,1762,615,46,7325,9748,0.7412705090450147,0.9745575221238938,0.9321912187115305,615,46,LOOSE
1.25,1703,520,105,7420,9748,0.7660818713450293,0.941924778761062,0.9358842839556832,520,105,LOOSE
1.5,1566,416,242,7524,9748,0.7901109989909183,0.8661504424778761,0.9324989741485433,416,242,LOOSE
2.0,1319,297,489,7643,9748,0.8162128712871287,0.7295353982300885,0.9193680755026672,297,489,LOOSE
3.0,1048,191,760,7749,9748,0.8458434221146085,0.5796460176991151,0.9024415264669676,191,760,LOOSE
4.0,852,150,956,7790,9748,0.8502994011976048,0.47123893805309736,0.886540828887977,150,956,LOOSE
5.0,703,129,1105,7811,9748,0.8449519230769231,0.38882743362831856,0.8734099302421009,129,1105,LOOSE
7.5,417,90,1391,7850,9748,0.8224852071005917,0.230641592920354,0.848071399261387,90,1391,LOOSE
10.0,343,63,1465,7877,9748,0.8448275862068966,0.18971238938053098,0.8432498974148543,63,1465,LOOSE
20.0,189,36,1619,7904,9748,0.84,0.10453539823008849,0.8302215839146492,36,1619,LOOSE
50.0,98,26,1710,7914,9748,0.7903225806451613,0.05420353982300885,0.8219121871153057,26,1710,LOOSE
100.0,59,22,1749,7918,9748,0.7283950617283951,0.03263274336283186,0.8183217070168239,22,1749,LOOSE
1000000000.0,10,17,1798,7923,9748,0.37037037037037035,0.0055309734513274336,0.8138079606073041,17,1798,LOOSE
