panel,leg_a,leg_b,mean_xs_spearman
U56,M12_1,M6,0.6055297058152588
U56,M12_1,M3,0.35412850056621864
U56,M6,M3,0.6522234664199995
B136,M12_1,M6,0.583202090544225
B136,M12_1,M3,0.3334520640642327
B136,M6,M3,0.6613471877021511
SMALL663,M12_1,M6,0.5606831994035989
SMALL663,M12_1,M3,0.30963644840999205
SMALL663,M6,M3,0.654435763301829
