grid,q,n,pass4a,pass4b,rate4b
EW,0.0,25,0,4,0.16
EW,0.5,40,0,1,0.025
EW,1.0,48,0,0,0.0
E_DYN,0.0,100,0,0,0.0
E_DYN,0.5,160,0,0,0.0
E_DYN,1.0,192,0,0,0.0
E_STAT,0.0,100,0,16,0.16
E_STAT,0.5,160,0,1,0.00625
E_STAT,1.0,192,0,0,0.0
RATIO,0.0,100,0,24,0.24
RATIO,0.5,160,0,3,0.01875
RATIO,1.0,192,0,0,0.0
