panel,form,k,n_elig,strict,weak,argmax_n,share_at_argmax,share_at_n40,first_n_ge_nelig,spread_above_nelig
B136,NOM,20,13.4611335504886,False,False,10,0.247,0.0,15.0,0.093
B136,NOM,40,26.92559609120521,False,False,20,0.402,0.0,30.0,0.039
B136,NOM,80,53.823579804560254,False,False,30,0.716,0.5,,
B136,MATCH,20,13.4611335504886,False,True,20,0.173,0.173,15.0,0.002999999999999975
B136,MATCH,40,26.92559609120521,False,False,20,0.278,0.264,30.0,0.010000000000000009
B136,MATCH,80,53.823579804560254,True,True,40,0.535,0.535,,
SMALL484,NOM,20,6.131784577723378,False,True,5,0.0,0.0,10.0,0.0
SMALL484,NOM,40,12.266015911872708,False,True,5,0.0,0.0,15.0,0.0
SMALL484,NOM,80,24.63462545899633,False,True,5,0.0,0.0,30.0,0.0
SMALL484,MATCH,20,6.131784577723378,False,True,5,0.0,0.0,10.0,0.0
SMALL484,MATCH,40,12.266015911872708,False,True,5,0.0,0.0,15.0,0.0
SMALL484,MATCH,80,24.63462545899633,False,True,5,0.0,0.0,30.0,0.0
