rung,committed,rebuilt,n
R3,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS+L4_DD+L5_CAGR,4954
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L5_CAGR,2921
R3,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS,2594
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L4_DD+L5_CAGR,1942
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS,1935
R3,L1_H1+L2_H2+L3_OOS+L4_DD,L3_OOS,1046
R4,L1_H1,L1_H1+L2_H2+L3_OOS+L5_CAGR,992
R4,L2_H2,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,913
R4,L2_H2+L4_DD,L4_DD,906
R3,L1_H1+L2_H2+L3_OOS+L5_CAGR,L3_OOS,835
R3,L1_H1+L5_CAGR,L5_CAGR,827
R4,L2_H2+L3_OOS+L4_DD,L2_H2+L4_DD,812
R4,L2_H2,L1_H1+L2_H2+L3_OOS+L4_DD,800
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2+L4_DD,761
R3,L2_H2+L3_OOS+L4_DD,L3_OOS,723
R3,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L4_DD+L5_CAGR,667
R3,L2_H2+L4_DD,L4_DD,652
R4,L3_OOS,L1_H1+L2_H2+L3_OOS+L5_CAGR,617
R3,L2_H2+L3_OOS+L4_DD,L3_OOS+L4_DD,606
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L3_OOS,563
R4,L2_H2,L2_H2+L3_OOS+L4_DD,547
R3,L2_H2+L5_CAGR,L5_CAGR,545
R4,L2_H2+L5_CAGR,L5_CAGR,541
R3,L1_H1+L4_DD,L4_DD,529
R4,L2_H2+L3_OOS+L5_CAGR,L1_H1+L5_CAGR,524
R3,L1_H1,L3_OOS,511
R4,L5_CAGR,-,481
R3,L2_H2,L3_OOS,480
R3,L1_H1+L2_H2+L3_OOS+L5_CAGR,L3_OOS+L5_CAGR,473
R4,L2_H2+L3_OOS+L5_CAGR,L2_H2+L5_CAGR,466
R4,L2_H2+L3_OOS+L5_CAGR,L5_CAGR,463
R4,L2_H2,L1_H1+L2_H2+L3_OOS+L5_CAGR,454
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L5_CAGR,442
R4,L5_CAGR,L1_H1+L5_CAGR,439
R4,L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L3_OOS+L5_CAGR,424
R4,L1_H1,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,409
R4,L2_H2+L3_OOS+L4_DD,L4_DD,407
R4,L2_H2+L3_OOS+L4_DD,L3_OOS,394
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L2_H2+L3_OOS+L5_CAGR,369
R4,L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD,360
R4,L1_H1+L3_OOS+L5_CAGR,L1_H1+L5_CAGR,345
R3,L1_H1+L2_H2+L3_OOS+L4_DD,L3_OOS+L4_DD,331
R4,L1_H1+L5_CAGR,L5_CAGR,304
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L3_OOS,294
R4,L2_H2,L3_OOS,270
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS+L4_DD+L5_CAGR,268
R3,L2_H2+L3_OOS+L4_DD,L2_H2+L4_DD,265
R4,L4_DD,L2_H2+L3_OOS+L4_DD,251
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1+L5_CAGR,240
R4,L3_OOS,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,221
R4,L1_H1+L4_DD,L4_DD,216
R3,L4_DD,L3_OOS,216
R4,L1_H1,L3_OOS,209
R3,L2_H2+L3_OOS+L5_CAGR,L3_OOS,208
R4,L3_OOS,L1_H1+L2_H2+L3_OOS+L4_DD,208
R4,L1_H1+L3_OOS+L4_DD,L1_H1+L4_DD,203
R4,L2_H2,L2_H2+L3_OOS+L5_CAGR,203
R4,L1_H1+L4_DD,L1_H1,199
R4,L5_CAGR,L1_H1+L2_H2+L3_OOS+L5_CAGR,193
R4,L4_DD,L3_OOS+L4_DD,184
R4,L1_H1,L1_H1+L2_H2+L3_OOS+L4_DD,178
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L4_DD+L5_CAGR,173
R4,L1_H1+L2_H2+L5_CAGR,L1_H1+L5_CAGR,166
R3,L1_H1+L2_H2+L5_CAGR,L5_CAGR,160
R3,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L5_CAGR,157
R3,L1_H1+L2_H2+L4_DD+L5_CAGR,L4_DD+L5_CAGR,151
R4,L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD,150
R4,L2_H2+L3_OOS+L4_DD,L3_OOS+L4_DD,148
R4,L2_H2+L4_DD+L5_CAGR,L4_DD+L5_CAGR,147
R4,L4_DD,L1_H1+L4_DD,146
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L3_OOS+L4_DD,146
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L5_CAGR,143
R3,L1_H1+L4_DD+L5_CAGR,L4_DD+L5_CAGR,142
R4,L5_CAGR,L2_H2+L5_CAGR,131
R3,L2_H2+L3_OOS+L5_CAGR,L3_OOS+L5_CAGR,130
R4,L2_H2+L3_OOS,L1_H1+L5_CAGR,119
R4,L2_H2,-,118
R4,L4_DD,L2_H2+L4_DD,116
R3,L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS+L4_DD+L5_CAGR,112
R3,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2+L4_DD,105
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L4_DD,104
R4,L2_H2+L3_OOS+L5_CAGR,L3_OOS,100
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L3_OOS+L5_CAGR,96
R4,L2_H2+L3_OOS+L5_CAGR,L3_OOS+L5_CAGR,92
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,90
R4,L2_H2+L3_OOS,L2_H2,88
R4,L1_H1,L1_H1+L5_CAGR,84
