minfiles,bar_pp,nstats,qualify,qualify_share,flips,flip_share,flips_among_qualifying
2,5.0,1413,375,0.2653927813163482,224,0.15852795470629866,189
2,10.0,1413,205,0.14508138711960367,224,0.15852795470629866,144
2,15.0,1413,121,0.08563340410474168,224,0.15852795470629866,97
2,20.0,1413,64,0.04529370134465676,224,0.15852795470629866,59
2,25.0,1413,39,0.027600849256900213,224,0.15852795470629866,39
5,5.0,325,155,0.47692307692307695,96,0.2953846153846154,88
5,10.0,325,97,0.29846153846153844,96,0.2953846153846154,69
5,15.0,325,55,0.16923076923076924,96,0.2953846153846154,46
5,20.0,325,34,0.10461538461538461,96,0.2953846153846154,32
5,25.0,325,19,0.05846153846153846,96,0.2953846153846154,19
10,5.0,153,81,0.5294117647058824,45,0.29411764705882354,41
10,10.0,153,52,0.33986928104575165,45,0.29411764705882354,34
10,15.0,153,28,0.1830065359477124,45,0.29411764705882354,22
10,20.0,153,16,0.10457516339869281,45,0.29411764705882354,14
10,25.0,153,7,0.0457516339869281,45,0.29411764705882354,7
25,5.0,47,19,0.40425531914893614,9,0.19148936170212766,8
25,10.0,47,10,0.2127659574468085,9,0.19148936170212766,7
25,15.0,47,4,0.0851063829787234,9,0.19148936170212766,4
25,20.0,47,3,0.06382978723404255,9,0.19148936170212766,3
25,25.0,47,1,0.02127659574468085,9,0.19148936170212766,1
50,5.0,30,9,0.3,3,0.1,2
50,10.0,30,4,0.13333333333333333,3,0.1,2
50,15.0,30,2,0.06666666666666667,3,0.1,2
50,20.0,30,2,0.06666666666666667,3,0.1,2
50,25.0,30,1,0.03333333333333333,3,0.1,1
