object,first_date,last_date,n_rows,n_cols,panel_sha
PANEL U56,2008-01-02,2026-09-08,4700,56,fabfd5b814808b76
PANEL B136,2008-01-02,2026-09-04,4699,136,e660835829f4a3c3
PANEL SMALL439,2010-01-04,2026-09-04,4194,440,e857282e3e67ec9a
FILE data/prices.csv,,,-1,-1,68548b1de3629415
FILE data/prices_broad.csv,,,-1,-1,a1db76ae968c017d
FILE data/prices_small.csv.gz,,,-1,-1,bc832ada6461349b
FILE data/small_meta.csv,,,-1,-1,7df34da127bda9cd
FILE data/volume_small.csv.gz,,,-1,-1,23d10ef01d1e1078
