panel,book,cadence,conv,estimator,cost_bps,n,base4b,base4a,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,med_turn,legpass_L1_H1,legpass_L2_H2,legpass_L3_OOS,legpass_L4_DD,legpass_L5_CAGR
B136,BAND03,M,ROT,CANON,0.0,100,0.0,0.0,1.1122267957857175,0.0848243448749233,-0.17229768344716767,3.377477702091183,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROT,CANON,5.0,100,0.0,0.0,1.089097379085655,0.0829221572848231,-0.172440972236724,3.377477702091183,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROT,CANON,10.0,100,0.0,0.0,1.065912843618348,0.08102300925590178,-0.17258426102628038,3.377477702091183,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROT,CANON,25.0,100,0.0,0.0,0.9965838734769152,0.07534375867082943,-0.17301412739494898,3.377477702091183,1.0,0.91,1.0,1.0,0.0
B136,BAND03,M,ROT,CANON,50.0,100,0.0,0.0,0.8791450174977182,0.06588906406689665,-0.17373057134272996,3.377477702091183,1.0,0.0,0.52,1.0,0.0
B136,BAND03,M,ROT,FPORT,0.0,100,0.0,0.0,1.0681256232591965,0.08326682306837951,-0.182638735413315,3.3822273229692437,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROT,FPORT,5.0,100,0.0,0.0,1.0454867452932093,0.08136494516746595,-0.18280097927033556,3.3822273229692437,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROT,FPORT,10.0,100,0.0,0.0,1.022847253653252,0.07946639044853288,-0.18296319263865535,3.3822273229692437,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROT,FPORT,25.0,100,0.0,0.0,0.9549253783205763,0.07378912730902532,-0.183449649865503,3.3822273229692437,1.0,0.71,1.0,1.0,0.0
B136,BAND03,M,ROT,FPORT,50.0,100,0.0,0.0,0.8417126082191463,0.06438676620768502,-0.1842598026409999,3.3822273229692437,1.0,0.0,0.0,1.0,0.0
B136,BAND03,M,ROTP,CANON,0.0,100,0.0,0.0,1.1224174750194469,0.08572080376633895,-0.17141697480637486,3.369127932998963,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROTP,CANON,5.0,100,0.0,0.0,1.099526562826938,0.0838183555453953,-0.17156031651065684,3.369127932998963,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROTP,CANON,10.0,100,0.0,0.0,1.076291362093402,0.08191894520223897,-0.17170365821493894,3.369127932998963,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROTP,CANON,25.0,100,0.0,0.0,1.0061798983655366,0.07623889762950042,-0.17213368332778534,3.369127932998963,1.0,0.96,1.0,1.0,0.0
B136,BAND03,M,ROTP,CANON,50.0,100,0.0,0.0,0.8886025256455126,0.06681870731459627,-0.17287265191079487,3.369127932998963,1.0,0.01,0.65,1.0,0.0
B136,BAND03,M,ROTP,FPORT,0.0,100,0.0,0.0,1.0680065462467945,0.08326432152044672,-0.18292795013602509,3.381419870512373,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROTP,FPORT,5.0,100,0.0,0.0,1.0453736453083096,0.08135566680428896,-0.183090690974688,3.381419870512373,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROTP,FPORT,10.0,100,0.0,0.0,1.0227342612709296,0.07945035899192832,-0.1832534011200162,3.381419870512373,1.0,1.0,1.0,1.0,0.0
B136,BAND03,M,ROTP,FPORT,25.0,100,0.0,0.0,0.9547910723458229,0.0737563434581816,-0.18374134745066012,3.381419870512373,1.0,0.74,1.0,1.0,0.0
B136,BAND03,M,ROTP,FPORT,50.0,100,0.0,0.0,0.8415367529235116,0.06434253724844119,-0.18455397797848405,3.381419870512373,1.0,0.0,0.0,1.0,0.0
B136,BAND03,Q,ROT,CANON,0.0,100,0.0,0.0,0.9596471138562832,0.08208699670193931,-0.21980130061881287,1.2679840296212446,1.0,0.71,1.0,0.0,0.0
B136,BAND03,Q,ROT,CANON,5.0,100,0.0,0.0,0.9519616620101232,0.08138430891150539,-0.2198013006188126,1.2679840296212446,1.0,0.64,1.0,0.0,0.0
B136,BAND03,Q,ROT,CANON,10.0,100,0.0,0.0,0.9442612416580494,0.08068195506345577,-0.2198013006188128,1.2679840296212446,1.0,0.53,1.0,0.0,0.0
B136,BAND03,Q,ROT,CANON,25.0,100,0.0,0.0,0.9210738177244215,0.07857631951252753,-0.21980130061881292,1.2679840296212446,1.0,0.23,0.93,0.0,0.0
B136,BAND03,Q,ROT,CANON,50.0,100,0.0,0.0,0.8822680053512888,0.07507054994295037,-0.21980130061881287,1.2679840296212446,1.0,0.01,0.61,0.0,0.0
B136,BAND03,Q,ROT,FPORT,0.0,100,0.0,0.0,1.0481591253498155,0.08867916353789473,-0.2085124607555351,1.272707274318785,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROT,FPORT,5.0,100,0.0,0.0,1.04040716477269,0.08796686241513407,-0.20857095577366386,1.272707274318785,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROT,FPORT,10.0,100,0.0,0.0,1.0326550844935771,0.08725502515838546,-0.20862944667511601,1.272707274318785,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROT,FPORT,25.0,100,0.0,0.0,1.009398135678679,0.08512229357842516,-0.20880461832180258,1.272707274318785,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROT,FPORT,50.0,100,0.0,0.0,0.9706342558127883,0.08157967769782937,-0.20909602831408763,1.272707274318785,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROTP,CANON,0.0,100,0.0,0.0,0.9548081443146728,0.08179659427420594,-0.2196630930790145,1.2682351033539674,1.0,0.68,1.0,0.0,0.0
B136,BAND03,Q,ROTP,CANON,5.0,100,0.0,0.0,0.9472560530315942,0.08109404157823874,-0.21966309307901477,1.2682351033539674,1.0,0.58,0.98,0.0,0.0
B136,BAND03,Q,ROTP,CANON,10.0,100,0.0,0.0,0.9396894897350621,0.08039036280119549,-0.21966309307901444,1.2682351033539674,1.0,0.46,0.97,0.0,0.0
B136,BAND03,Q,ROTP,CANON,25.0,100,0.0,0.0,0.9169064292012952,0.07827440974608113,-0.2196630930790145,1.2682351033539674,1.0,0.2,0.94,0.0,0.0
B136,BAND03,Q,ROTP,CANON,50.0,100,0.0,0.0,0.8783201511265972,0.07472515292253612,-0.21966309307901472,1.2682351033539674,1.0,0.01,0.55,0.0,0.0
B136,BAND03,Q,ROTP,FPORT,0.0,100,0.0,0.0,1.0476565391244117,0.08864085446365777,-0.20852226462394424,1.2725049049533597,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROTP,FPORT,5.0,100,0.0,0.0,1.039911628305267,0.08792819165450483,-0.20858132700425103,1.2725049049533597,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROTP,FPORT,10.0,100,0.0,0.0,1.0321666222398145,0.08721599319043438,-0.20864028957952335,1.2725049049533597,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROTP,FPORT,25.0,100,0.0,0.0,1.0089310425655738,0.08508218085829833,-0.20881647973961054,1.2725049049533597,1.0,1.0,1.0,0.0,0.0
B136,BAND03,Q,ROTP,FPORT,50.0,100,0.0,0.0,0.9702032648568729,0.08153273280717599,-0.2091086196209428,1.2725049049533597,1.0,1.0,1.0,0.0,0.0
B136,EWELIG,M,ROT,CANON,0.0,100,0.0,0.0,1.1017212480949299,0.13917618122367148,-0.25079667221790725,6.572585394095245,1.0,1.0,1.0,0.0,1.0
B136,EWELIG,M,ROT,CANON,5.0,100,0.0,0.0,1.0751615250179247,0.1353397441641896,-0.25116140525400665,6.572585394095245,1.0,1.0,1.0,0.0,1.0
B136,EWELIG,M,ROT,CANON,10.0,100,0.0,0.0,1.0485240175502728,0.1315148496212888,-0.25152613829010545,6.572585394095245,1.0,0.99,1.0,0.0,1.0
B136,EWELIG,M,ROT,CANON,25.0,100,0.0,0.0,0.9671938661508769,0.1200612869119212,-0.25262033739840234,6.572585394095245,1.0,0.83,0.96,0.0,0.99
B136,EWELIG,M,ROT,CANON,50.0,100,0.0,0.0,0.8292058194578448,0.10109805635484825,-0.25444400257889777,6.572585394095245,0.41,0.03,0.13,0.0,0.15
B136,EWELIG,M,ROT,FPORT,0.0,100,0.0,0.0,1.1105837870492334,0.13855226392573894,-0.24644438202431146,6.496693864408071,1.0,1.0,1.0,0.0,1.0
B136,EWELIG,M,ROT,FPORT,5.0,100,0.0,0.0,1.083776590894877,0.134780013676413,-0.24680066178077703,6.496693864408071,1.0,1.0,1.0,0.0,1.0
