panel,n,bps,set,f1,pick5,f5,S0,S1,S5,SM,SC,d1,d5,d51,S0_CAGR,S1_CAGR,S5_CAGR,SC_CAGR,S0_DD,S1_DD,S5_DD,SC_DD,S0_4b,S1_4b,S5_4b,SC_4b,S0_4a,S1_4a,S5_4a,v1_Sharpe,v1_CAGR,v1_DD,spy_Sharpe,spy_CAGR,spy_DD
u56,10,10.0,TLT+GLD+DBC+UUP,0.5,IEF+LQD+TIP+UNG,0.5,1.0442432489520044,1.1461251164624704,0.8734735606168208,0.9103040307505597,1.0410184726952876,0.10188186751046602,-0.17076968833518358,-0.2726515558456496,0.1774159608732273,0.11708124913643436,0.09041678292151367,0.08869627136081326,-0.2409174494743057,-0.13556314665329816,-0.13673825163120668,-0.12618549851065275,DD,-,"H2,OOS,CAGR",CAGR,DD,-,-,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,TLT+GLD+UUP,0.5,IEF+LQD+UNG,0.5,1.0442432489520044,1.1137937478208915,0.8379130474710879,0.9222795331756337,1.0410184726952876,0.06955049886888709,-0.20633020148091652,-0.2758807003498036,0.1774159608732273,0.1106289007468213,0.09114231670689077,0.08869627136081326,-0.2409174494743057,-0.12699806524602497,-0.15428557613964244,-0.12618549851065275,DD,-,"H2,OOS,CAGR",CAGR,DD,H1,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,GLD+DBC+UUP,0.2,IEF+LQD+TLT,0.5,1.0442432489520044,1.099416249632566,0.8679114123133852,1.0200837243782623,1.0430280762213104,0.055173000680561524,-0.17633183663861918,-0.2315048373191807,0.1774159608732273,0.1591072798348825,0.09295609169759977,0.14201254171981703,-0.2409174494743057,-0.2006139231701093,-0.12688477134904674,-0.19635550635647803,DD,-,"H2,OOS,CAGR",-,DD,DD,-,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,SPY+EFA+EEM+TLT+GLD+DBC,0.1,IEF+LQD+SLV+TIP+UNG+UUP,0.5,1.0442432489520044,1.063225935941617,0.9609737664228112,1.043772808128995,1.0436476791595395,0.018982686989612585,-0.0832694825291932,-0.10225216951880578,0.1774159608732273,0.1712273619117377,0.09446097662903674,0.15973594255706325,-0.2409174494743057,-0.22790429562751824,-0.14027836567190866,-0.21885429493164976,DD,DD,CAGR,DD,DD,DD,"H1,DD",0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,SPY+TLT+GLD,0.5,IEF+LQD+UNG,0.5,1.0442432489520044,1.0962911535104423,0.8379130474710879,0.9538787459238662,1.0410184726952876,0.052047904558437885,-0.20633020148091652,-0.2583781060393544,0.1774159608732273,0.12502629440497937,0.09114231670689077,0.08869627136081326,-0.2409174494743057,-0.15230031922568488,-0.15428557613964244,-0.12618549851065275,DD,-,"H2,OOS,CAGR",CAGR,DD,DD,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,TLT+DBC+UUP,0.5,GLD+IEF+LQD,0.5,1.0442432489520044,1.0982623663965112,0.9534689410231392,0.9367698089903949,1.0410184726952876,0.054019117444506826,-0.0907743079288652,-0.14479342537337203,0.1774159608732273,0.11232004292142173,0.09991488917599844,0.08869627136081326,-0.2409174494743057,-0.1346899354254214,-0.1271412842755444,-0.12618549851065275,DD,-,CAGR,CAGR,DD,-,-,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,TLT+GLD+DBC,0.2,IEF+LQD+UNG,0.5,1.0442432489520044,1.0870478223221776,0.8379130474710879,1.0278685259661668,1.0430280762213104,0.04280457337017318,-0.20633020148091652,-0.2491347748510897,0.1774159608732273,0.16055490555960383,0.09114231670689077,0.14201254171981703,-0.2409174494743057,-0.19865925515459903,-0.15428557613964244,-0.19635550635647803,DD,-,"H2,OOS,CAGR",-,DD,DD,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,10.0,TLT+GLD+SHY,0.5,IEF+LQD+UNG,0.5,1.0442432489520044,0.9825120336606891,0.8379130474710879,0.9549079072394142,1.0410184726952876,-0.06173121529131531,-0.20633020148091652,-0.1445989861896012,0.1774159608732273,0.09451630243040499,0.09114231670689077,0.08869627136081326,-0.2409174494743057,-0.1323120590624336,-0.15428557613964244,-0.12618549851065275,DD,CAGR,"H2,OOS,CAGR",CAGR,DD,-,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,TLT+GLD+DBC+UUP,0.2,IEF+LQD+SLV+UNG,0.5,0.9305864184715728,0.9594679009263919,0.6853169067776909,0.8916301271793023,0.9290750033701207,0.02888148245481914,-0.2452695116938819,-0.27415099414870103,0.15483044412488955,0.13592663039681607,0.07373346824465443,0.12441235055471478,-0.24207777084199966,-0.19704947804170947,-0.16959279967389496,-0.19733607185214352,"H1,DD",H1,"H1,H2,OOS,CAGR",H1,DD,DD,DD,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,TLT+GLD+UUP,0.5,IEF+LQD+SLV,0.5,0.9305864184715728,0.9567750200035923,0.6971458947570081,0.7760465686149342,0.9263718467214604,0.026188601532019518,-0.2334405237145647,-0.2596291252465842,0.15483044412488955,0.09357217848373511,0.07374321121676819,0.07811784457469129,-0.24207777084199966,-0.12822217695049998,-0.14530691004657637,-0.1268541207835472,"H1,DD","H1,CAGR","H1,H2,OOS,CAGR","H1,CAGR",DD,-,DD,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,GLD+DBC+UUP,0.1,IEF+LQD+TLT,0.5,0.9305864184715728,0.9554872126301627,0.7049550638656829,0.918035983262572,0.9298587738912837,0.024900794158589923,-0.2256313546058899,-0.2505321487644798,0.15483044412488955,0.14813233353757727,0.07369544259151861,0.13967436030478275,-0.24207777084199966,-0.221996021750413,-0.13539963279531808,-0.21992659439319162,"H1,DD","H1,DD","H1,H2,OOS,CAGR","H1,DD",DD,DD,-,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,SPY+EFA+EEM+TLT+GLD+DBC,0.1,IEF+LQD+SLV+TIP+UNG+UUP,0.5,0.9305864184715728,0.9446202236414757,0.7994107358457407,0.9217840312933185,0.9298587738912837,0.014033805169902935,-0.131175682625832,-0.14520948779573495,0.15483044412488955,0.1490868217241006,0.07713617368990411,0.13967436030478275,-0.24207777084199966,-0.2290592955190064,-0.14157919024884025,-0.21992659439319162,"H1,DD","H1,DD","H1,H2,OOS,CAGR","H1,DD",DD,DD,-,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,SPY+TLT+GLD,0.5,IEF+LQD+SLV,0.5,0.9305864184715728,0.9624310617558784,0.6971458947570081,0.8055786460843783,0.9263718467214604,0.031844643284305696,-0.2334405237145647,-0.2652851669988704,0.15483044412488955,0.10809108505568599,0.07374321121676819,0.07811784457469129,-0.24207777084199966,-0.1531626669254631,-0.14530691004657637,-0.1268541207835472,"H1,DD",CAGR,"H1,H2,OOS,CAGR","H1,CAGR",DD,DD,DD,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,TLT+DBC+UUP,0.2,IEF+LQD+SLV,0.5,0.9305864184715728,0.948089750911108,0.6971458947570081,0.9006586115650702,0.9290750033701207,0.01750333243953528,-0.2334405237145647,-0.2509438561541,0.15483044412488955,0.13437144863371087,0.07374321121676819,0.12441235055471478,-0.24207777084199966,-0.19635221487074328,-0.14530691004657637,-0.19733607185214352,"H1,DD",H1,"H1,H2,OOS,CAGR",H1,DD,DD,DD,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,TLT+GLD+DBC,0.2,IEF+LQD+SLV,0.5,0.9305864184715728,0.9593202020641487,0.6971458947570081,0.9004600429400605,0.9290750033701207,0.028733783592575945,-0.2334405237145647,-0.26217430730714064,0.15483044412488955,0.13897188750674294,0.07374321121676819,0.12441235055471478,-0.24207777084199966,-0.1997683431667443,-0.14530691004657637,-0.19733607185214352,"H1,DD",H1,"H1,H2,OOS,CAGR",H1,DD,DD,DD,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10,25.0,TLT+GLD+SHY,0.1,IEF+LQD+SLV,0.5,0.9305864184715728,0.9266577423448702,0.6971458947570081,0.9247283029215522,0.9298587738912837,-0.003928676126702557,-0.2334405237145647,-0.22951184758786214,0.15483044412488955,0.14045885371891376,0.07374321121676819,0.13967436030478275,-0.24207777084199966,-0.21222713525597314,-0.14530691004657637,-0.21992659439319162,"H1,DD","H1,DD","H1,H2,OOS,CAGR","H1,DD",DD,DD,DD,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,10.0,TLT+GLD+DBC+UUP,0.5,IEF+LQD+SLV+UNG,0.5,1.1676752607259366,1.2673040004975333,0.893733780957804,0.961176209043947,1.16642233114057,0.0996287397715967,-0.27394147976813266,-0.37357021953972935,0.16638958865609754,0.10910695987589825,0.08429897574375955,0.08248726512682203,-0.22210408719864594,-0.13073431783307932,-0.167893746613887,-0.11584555314226741,DD,-,"H2,CAGR",CAGR,DD,-,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,10.0,TLT+GLD+UUP,0.5,IEF+LQD+UNG,0.5,1.1676752607259366,1.241131124172673,0.8937024147410073,0.9737709005825634,1.16642233114057,0.07345586344673638,-0.2739728459849293,-0.3474287094316657,0.16638958865609754,0.10312782582771907,0.08262585253215704,0.08248726512682203,-0.22210408719864594,-0.1224511409064808,-0.151981689950468,-0.11584555314226741,DD,CAGR,"H2,CAGR",CAGR,DD,-,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,10.0,GLD+DBC+UUP,0.2,IEF+LQD+TLT,0.5,1.1676752607259366,1.21275303293061,0.9127797773962442,1.1104483007708776,1.167248333816834,0.04507777220467335,-0.2548954833296925,-0.2999732555343658,0.16638958865609754,0.14686967350521063,0.08286195250787887,0.13271027129651625,-0.22210408719864594,-0.19124631034262507,-0.16643151187053373,-0.18071925404636513,DD,-,"H2,CAGR",-,DD,DD,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,10.0,SPY+EFA+EEM+TLT+GLD+DBC,0.1,IEF+LQD+SLV+TIP+UNG+UUP,0.5,1.1676752607259366,1.1566258756299304,1.046880614883225,1.1426864982571279,1.1674762286842593,-0.011049385096006281,-0.1207946458427116,-0.10974526074670532,0.16638958865609754,0.15678995050798372,0.08660066261054467,0.14953508938781268,-0.22210408719864594,-0.21411233998564871,-0.13307156586953217,-0.2015953355213641,DD,DD,CAGR,-,DD,DD,-,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,20,10.0,SPY+TLT+GLD,0.5,IEF+LQD+UNG,0.5,1.1676752607259366,1.1549740533582364,0.8937024147410073,1.0187644350689764,1.16642233114057,-0.012701207367700196,-0.2739728459849293,-0.26127163861722913,0.16638958865609754,0.11629352082726618,0.08262585253215704,0.08248726512682203,-0.22210408719864594,-0.16135957584997118,-0.151981689950468,-0.11584555314226741,DD,-,"H2,CAGR",CAGR,DD,DD,DD,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
