panel,gross,cost_bps,starts_passing,of,dies_at
U56,0.75,0.0,5,5,none
U56,0.75,10.0,5,5,none
U56,0.75,25.0,5,5,none
U56,1.0,0.0,5,5,none
U56,1.0,10.0,5,5,none
U56,1.0,25.0,5,5,none
U56,1.0,50.0,4,5,2012-01-01
B136,0.75,0.0,5,5,none
B136,0.75,10.0,5,5,none
B136,0.75,25.0,5,5,none
