panel,cadence,gross,idle_mean,levered,keep4a_OFF,keep4a_ON,keep4a_flip,keep4a_matched_OFF,keep4a_matched_ON,keep4a_matched_flip,keep4b_OFF,keep4b_ON,keep4b_flip,keep4b_oos_OFF,keep4b_oos_ON,keep4b_oos_flip,keep_BOTH_OFF,keep_BOTH_ON,keep_BOTH_flip,keep_BOTH_matched_OFF,keep_BOTH_matched_ON,keep_BOTH_matched_flip,dCAGR_pp,dOOSCAGR_pp,dSharpe,dMaxDD_pp
B136,D,0.25,0.8226455314954658,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,1.0996695645470123,1.4488759923047656,0.3569899084556756,-3.2671320687170824
B136,D,0.3,0.787174637794559,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,1.0560727628954325,1.3924468123532652,0.31038664986323816,-2.855813544180952
B136,D,0.35,0.751703744093652,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,1.0119358786440324,1.3353783960795118,0.26855387937404673,-2.5104310339820968
B136,D,0.4,0.7162328503927453,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,0.9672572153481829,1.2776693545224038,0.23240760951436523,-2.178107383620276
B136,D,0.45,0.6807619566918384,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,0.9220351739085642,1.2193171161154703,0.20150155270948167,-1.8490426984659303
B136,D,0.5,0.6452910629909316,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,0.8762664539713638,1.1603200363579091,0.1750660853425947,-1.5232239740231468
B136,D,0.55,0.6098201692900247,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,0.829949161843424,1.1006764449037032,0.15234493567129004,-1.2006353784595913
B136,D,0.6,0.574349275589118,False,False,True,1,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,0.7830824738212394,1.040385187617221,0.13268752027932695,-0.8956016622558072
B136,D,0.65,0.538878381888211,False,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,0.7356661690220756,0.9794466826276382,0.11556011406242694,-0.5995612866970257
B136,D,0.7,0.5034074881873042,False,False,True,1,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,0.6876979305034059,0.9178614400701779,0.10053191070240897,-0.3065047066470261
