grid,fallback,floor,n_emptied,mean_dSharpe,med_dSharpe,win_Sharpe,mean_dMaxDD,med_dMaxDD,win_MaxDD,mean_dCAGR,win_CAGR,ctrl_4b_in_emptied
MQ18,FB_CASH,0.1,6,-0.4703,-0.4897,0.0,0.3225,0.2408,1.0,-0.0505,0.0,0
MQ18,FB_CASH,0.25,6,-0.4703,-0.4897,0.0,0.3225,0.2408,1.0,-0.0505,0.0,0
MQ18,FB_CASH,0.4,6,-0.4703,-0.4897,0.0,0.3225,0.2408,1.0,-0.0505,0.0,0
MQ18,FB_CASH,0.5,6,-0.4703,-0.4897,0.0,0.3225,0.2408,1.0,-0.0505,0.0,0
MQ18,FB_CASH,0.75,12,-0.6424,-0.5702,0.0,0.3209,0.2934,1.0,-0.103,0.0,0
MQ18,FB_CASH,0.9,18,-0.7523,-0.8312,0.0,0.3235,0.3414,1.0,-0.1403,0.0,0
MQ18,FB_SPY,0.1,6,0.4066,0.3872,1.0,-0.0147,-0.0964,0.3333,0.1029,1.0,0
MQ18,FB_SPY,0.25,6,0.4066,0.3872,1.0,-0.0147,-0.0964,0.3333,0.1029,1.0,0
MQ18,FB_SPY,0.4,6,0.4066,0.3872,1.0,-0.0147,-0.0964,0.3333,0.1029,1.0,0
MQ18,FB_SPY,0.5,6,0.4066,0.3872,1.0,-0.0147,-0.0964,0.3333,0.1029,1.0,0
MQ18,FB_SPY,0.75,12,0.2317,0.3039,0.8333,-0.0163,-0.0438,0.5,0.0497,0.75,0
MQ18,FB_SPY,0.9,18,0.1227,0.0401,0.6667,-0.0137,0.0042,0.5,0.0126,0.5556,0
MQ18,FB_LIVE,0.1,6,0.0899,0.0704,0.6667,0.1836,0.1019,1.0,-0.0129,0.5,0
MQ18,FB_LIVE,0.25,6,0.0899,0.0704,0.6667,0.1836,0.1019,1.0,-0.0129,0.5,0
MQ18,FB_LIVE,0.4,6,0.0899,0.0704,0.6667,0.1836,0.1019,1.0,-0.0129,0.5,0
MQ18,FB_LIVE,0.5,6,0.0899,0.0704,0.6667,0.1836,0.1019,1.0,-0.0129,0.5,0
MQ18,FB_LIVE,0.75,12,0.276,0.2097,0.8333,0.1912,0.1686,1.0,-0.037,0.25,0
MQ18,FB_LIVE,0.9,18,0.2286,0.1561,0.8333,0.1962,0.2199,1.0,-0.07,0.1667,0
DW18,FB_CASH,0.1,12,-0.7994,-0.6185,0.0,0.192,0.1579,1.0,-0.0898,0.0,2
DW18,FB_CASH,0.25,15,-0.8764,-0.8711,0.0,0.1935,0.1591,1.0,-0.1051,0.0,4
DW18,FB_CASH,0.4,15,-0.8764,-0.8711,0.0,0.1935,0.1591,1.0,-0.1051,0.0,4
DW18,FB_CASH,0.5,15,-0.8764,-0.8711,0.0,0.1935,0.1591,1.0,-0.1051,0.0,4
DW18,FB_CASH,0.75,15,-0.8764,-0.8711,0.0,0.1935,0.1591,1.0,-0.1051,0.0,4
DW18,FB_CASH,0.9,18,-0.8973,-0.9361,0.0,0.1959,0.1616,1.0,-0.1105,0.0,4
DW18,FB_SPY,0.1,12,0.0761,0.2584,0.6667,-0.1452,-0.1793,0.0833,0.0632,0.9167,2
DW18,FB_SPY,0.25,15,-0.0017,0.0003,0.5333,-0.1437,-0.1781,0.0667,0.0477,0.8667,4
DW18,FB_SPY,0.4,15,-0.0017,0.0003,0.5333,-0.1437,-0.1781,0.0667,0.0477,0.8667,4
DW18,FB_SPY,0.5,15,-0.0017,0.0003,0.5333,-0.1437,-0.1781,0.0667,0.0477,0.8667,4
DW18,FB_SPY,0.75,15,-0.0017,0.0003,0.5333,-0.1437,-0.1781,0.0667,0.0477,0.8667,4
DW18,FB_SPY,0.9,18,-0.0223,-0.0648,0.5,-0.1413,-0.1756,0.0556,0.0424,0.8333,4
DW18,FB_LIVE,0.1,12,0.0763,0.0041,0.6667,0.0618,0.0282,0.8333,-0.0277,0.0833,2
DW18,FB_LIVE,0.25,15,0.0795,0.0007,0.7333,0.0652,0.0292,0.8667,-0.0365,0.0667,4
DW18,FB_LIVE,0.4,15,0.0795,0.0007,0.7333,0.0652,0.0292,0.8667,-0.0365,0.0667,4
DW18,FB_LIVE,0.5,15,0.0795,0.0007,0.7333,0.0652,0.0292,0.8667,-0.0365,0.0667,4
DW18,FB_LIVE,0.75,15,0.0795,0.0007,0.7333,0.0652,0.0292,0.8667,-0.0365,0.0667,4
DW18,FB_LIVE,0.9,18,0.0836,0.0011,0.7778,0.0686,0.0386,0.8889,-0.0402,0.0556,4
