selector,pick,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,panel,family,bps,dOOS
S0 do-nothing,-,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,BUDGET,10,0.0
S1 IS-Sharpe argmax,0.2/skip os=64%,0.6985632186076824,0.10422568167652835,-0.277871321094844,BROAD136,BUDGET,10,-0.17720213324040734
S2 MARGIN-only argmax,0.5/skip os=3%,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S3 PAIR: margin argmax | low on-share,0.5/skip os=3%,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
"S4 MARGIN-only, clause-gated",0.5/skip os=3%,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S5 PAIR: clause-gated | low on-share,0.5/skip os=3%,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S6 ON-SHARE-only (lowest),0.5/half os=3%,0.8239743239853635,0.11681159865990742,-0.22276937116193285,BROAD136,BUDGET,10,-0.05179102786272627
ORACLE-OOS,0.05/skip,0.9020274847728665,0.15431585426676997,-0.27794198758253685,BROAD136,BUDGET,10,0.02626213292477675
S0 do-nothing,-,0.7310232139337223,0.10056721799550972,-0.21680281437912718,BROAD136,BUDGET,25,0.0
S1 IS-Sharpe argmax,0.2/skip os=64%,0.6446662817622812,0.09471793062604994,-0.2796670341693569,BROAD136,BUDGET,25,-0.08635693217144103
S2 MARGIN-only argmax,0.5/skip os=3%,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S3 PAIR: margin argmax | low on-share,0.5/skip os=3%,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
"S4 MARGIN-only, clause-gated",0.5/skip os=3%,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S5 PAIR: clause-gated | low on-share,0.5/skip os=3%,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S6 ON-SHARE-only (lowest),0.5/half os=3%,0.6839712739620927,0.0940438421881582,-0.2256226642903767,BROAD136,BUDGET,25,-0.0470519399716296
ORACLE-OOS,0.05/skip,0.8982050152565592,0.15356213925262585,-0.2779419875825361,BROAD136,BUDGET,25,0.1671818013228369
S0 do-nothing,-,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
