panel,arm,spread_mean,spread_max,argmax_hi,argmax_lo,argmaxes
U56,NOSLV,0.001036023602628422,0.0013151758766809518,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
U56,phi0.00,0.10680117508173104,0.10842507859838202,0,5,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5)]"
U56,phi0.25,0.01631254540834366,0.02740695957782835,0,4,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.625)]"
U56,phi0.50,0.05080259649012571,0.0628300554953587,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
U56,phi0.75,0.07587080182581443,0.08708234829150752,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
U56,phi1.00,0.0793631990618536,0.08928676494049737,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
B136,NOSLV,0.002156444202743435,0.0025623846341569223,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
B136,phi0.00,0.10340815061739694,0.10608778801728413,0,5,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5)]"
B136,phi0.25,0.012187650536803396,0.0217635566049601,0,4,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.75)]"
B136,phi0.50,0.04858776465451391,0.06331470613081747,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
B136,phi0.75,0.06966900315178204,0.0837053190222623,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
B136,phi1.00,0.07087797971518528,0.08302787065610462,5,0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
