classifier,IS_acc,OOS_acc
CONST (IS majority = False),0.555256064690027,0.5902964959568733
R_THRESH (r < 0.55)  [idea 269C],0.601078167115903,0.6469002695417789
SOURCE (per-source IS majority),0.6657681940700808,0.6738544474393531
PANEL (per-panel IS majority),0.7520215633423181,0.6469002695417789
"CHAR (phat >= 0.50, fitted on all sources)",0.7412398921832885,0.77088948787062
"CHAR-LOSO (same, fitted without the held-out source)",,0.7547169811320755
