subset_size,cells_nondegenerate,mean_dOOS,sd_dOOS,p5,p95,mean_picked_n,mean_dMaxDD
1,11,0.012134668808435388,0.05461767669784227,-0.08840874249920316,0.09329063817741226,27.44772727272727,-0.01960208064856242
2,11,0.06479926050862533,0.03796115318405778,-0.001292852086702289,0.12244484152619825,29.68181818181818,-0.022000045791119582
3,11,0.07555951651359544,0.0262250846631155,0.03475620918844362,0.12022231906625218,27.14090909090909,-0.018231044989624797
5,11,0.0732001625382202,0.026907966736796754,0.0292988254881689,0.12036077366082093,23.086363636363636,-0.015133366045103918
8,11,0.07058755680063529,0.022444318767520205,0.033406135515563554,0.10941647517137498,17.27681818181818,-0.010316111183800387
12,11,0.06618841711375519,0.02105048410384045,0.029424900112325323,0.09901646745514799,13.925,-0.006351258295701149
20,11,0.05730530831058609,0.019572316756600185,0.025782034624971646,0.08899624516906435,11.32909090909091,-0.0025661269241227737
35,11,0.044949786810814366,0.01762757005165905,0.015129289134105087,0.07284244050990307,9.82318181818182,-0.00026525030833804425
50,11,0.032608720064067113,0.017042578561267105,0.006376964594842104,0.061008449264285655,9.05318181818182,-0.0005738224187809003
75,10,0.013052420735206844,0.012894274361016698,-0.006270972383719741,0.037877575830673346,8.920454545454545,-0.0018296303924413826
