panel,estimator,pairs,disagree,rate,max_dMaxDD
U56,FULL,357,36,0.10084033613445378,0.08714603557108469
U56,DOWN,387,40,0.10335917312661498,0.11406629863386075
U56,ROLL,441,20,0.045351473922902494,0.080920142840339
U56,DDWIN,211,21,0.0995260663507109,0.12012342369045381
B136,FULL,339,36,0.10619469026548672,0.10344233035517669
B136,DOWN,360,43,0.11944444444444445,0.10344233035517669
B136,ROLL,412,48,0.11650485436893204,0.10395132472956192
B136,DDWIN,109,0,0.0,0.04396301875767861
SMALL,FULL,357,69,0.19327731092436976,0.3283963549898239
SMALL,DOWN,345,62,0.17971014492753623,0.341136010778641
SMALL,ROLL,335,54,0.16119402985074627,0.3392170332703892
SMALL,DDWIN,413,80,0.1937046004842615,0.341136010778641
