panel,chooser,gspread,bspread,total_spread,gross_share
U56,IS_SHARPE,0.0010360236026283776,0.06746402161534229,0.0683951063648891,0.015124422171280285
U56,IS_MINMARG,0.05012730808933461,0.008129093161429558,0.058689630920532254,0.8604600870136494
U56,IS_CALMAR,0.015239367892019717,0.1610369737107765,0.17625920645169701,0.0864515779795261
U56,IS_CAGRSLACK,0.05012730808933461,0.008129093161429558,0.058689630920532254,0.8604600870136494
U56,IS_LEGS,0.2,0.2,1.0,0.5
U56,IS_DD,0.05274993269154109,0.011198097812339092,0.06427713681942149,0.8248875262599429
B136,IS_SHARPE,0.002156444202743568,0.08535889531677299,0.08740543175740689,0.024640756861403313
B136,IS_MINMARG,0.054650689023347174,0.01149971067440716,0.0670343459606575,0.8261581074800739
B136,IS_CALMAR,0.018780221090658133,0.06052179640455346,0.07816459899861794,0.23681895724521912
B136,IS_CAGRSLACK,0.054650689023347174,0.01149971067440716,0.0670343459606575,0.8261581074800739
B136,IS_LEGS,0.8,0.2,1.0,0.8
B136,IS_DD,0.05323187813902901,0.009057474845466573,0.06367759772678605,0.8545903206327883
