band,panel,steps_down,steps,values
0.0,U56,0,2,0.0142;0.0282;0.0487
0.0,B136,0,4,-0.0734;-0.0537;-0.0464;-0.0342;-0.0286
0.0,SMALL,2,6,-0.1014;-0.1676;-0.1221;-0.1012;-0.1006;-0.1033;-0.1020
0.03,U56,0,2,0.0515;0.0610;0.0827
0.03,B136,1,4,-0.0543;-0.0339;-0.0371;-0.0226;-0.0161
0.03,SMALL,2,6,-0.0663;-0.1331;-0.0851;-0.0486;-0.0535;-0.0499;-0.0461
0.06,U56,0,2,0.0031;0.0046;0.0193
0.06,B136,0,4,-0.0658;-0.0474;-0.0465;-0.0337;-0.0314
0.06,SMALL,3,6,-0.0399;-0.0880;-0.0502;-0.0093;-0.0103;-0.0041;-0.0042
0.1,U56,0,2,0.0319;0.0394;0.0544
0.1,B136,0,4,-0.0310;-0.0135;-0.0122;-0.0017;0.0017
0.1,SMALL,1,6,-0.0353;-0.0659;-0.0365;0.0046;0.0074;0.0105;0.0141
