panel,n,max_vol,cost,full,key_fixed,share_key
B136,10,0.6,0.0,0.08565909383135684,0.009215810821873727,0.8924129311942344
B136,10,0.6,10.0,0.207797052243487,0.01060618345429043,0.9489589320936921
B136,10,0.6,25.0,0.39324479671900536,0.012659592720205337,0.9678073484358108
B136,10,off,0.0,0.1049301022092558,0.006789983608251893,0.9352904127100626
B136,10,off,10.0,0.24528997577973843,0.005956217613452552,0.9757176476759041
B136,10,off,25.0,0.45621562197616716,0.005240312431163019,0.9885135182165314
B136,20,0.6,0.0,0.04987123578141284,0.011030851341912618,0.7788133546507414
B136,20,0.6,10.0,0.1218187003976251,0.011341749245462052,0.9068964846247599
B136,20,0.6,25.0,0.22996294613095603,0.011916841606928408,0.9481792966761603
B136,20,off,0.0,0.07706621744092501,0.01772858061643534,0.7699565230377998
B136,20,off,10.0,0.1538513767714519,0.01725235116774404,0.8878635243324952
B136,20,off,25.0,0.2694630964928967,0.01696319929874457,0.9370481542017323
SMALL,10,0.6,0.0,0.03961355501979236,0.007864729430686723,0.8014636801277436
SMALL,10,0.6,10.0,0.058094471191783736,0.01199732105663659,0.7934860097610569
SMALL,10,0.6,25.0,0.08691133131883794,0.020889606476450495,0.7596446152709814
SMALL,10,off,0.0,0.13873758895178223,0.005459520515291194,0.960648584449679
SMALL,10,off,10.0,0.21003927589231353,0.008864301189337676,0.9577969351128293
SMALL,10,off,25.0,0.3186917900251371,0.01760118392106469,0.9447705134805123
SMALL,20,0.6,0.0,0.06978037197784892,0.046416141633426555,0.3348252478768543
SMALL,20,0.6,10.0,0.04609362140524864,0.04609362140524864,0.0
SMALL,20,0.6,25.0,0.1004884367526514,0.04546716421722391,0.5475383468334802
SMALL,20,off,0.0,0.1451867358478962,0.021018151319867617,0.8552336672002384
SMALL,20,off,10.0,0.2334492115802893,0.022544299195454198,0.9034295338037558
SMALL,20,off,25.0,0.3656167728472959,0.02480978524208627,0.9321426502157537
U56,10,0.6,0.0,0.025337643897432427,0.014137672100043908,0.44202893697323853
U56,10,0.6,10.0,0.059288395437767316,0.010424427481183995,0.8241742350385228
U56,10,0.6,25.0,0.15155269037843622,0.011955804963498795,0.9211112324456634
U56,10,off,0.0,0.09725892009341353,0.010935796255176156,0.8875599662768954
U56,10,off,10.0,0.1700205098130304,0.00917892764514594,0.9460128213046773
U56,10,off,25.0,0.28110849375681635,0.012778723433998773,0.9545416672999802
U56,20,0.6,0.0,0.10869326976155436,0.025168337106763916,0.768446223377244
U56,20,0.6,10.0,0.13809875972715624,0.03427418078954858,0.751813985460372
U56,20,0.6,25.0,0.18248582724457818,0.04798144238604285,0.7370675678734475
U56,20,off,0.0,0.13470689109120149,0.03982963829214459,0.7043236766174161
U56,20,off,10.0,0.16702889221589745,0.04630878909050251,0.7227498280318778
U56,20,off,25.0,0.2156306199021869,0.056104886251949426,0.7398102074863051
