rung,L,frac_of_T,identity_share
1,1,0.0004982561036372695,0.0005032386646736422
2,2,0.000996512207274539,0.0005231689088191331
5,5,0.002491280518186348,0.0005231689088191331
10,10,0.004982561036372696,0.000622820129546587
21,21,0.01046337817638266,0.0006278026905829596
42,42,0.02092675635276532,0.0002092675635276532
63,63,0.03139013452914798,0.0010986547085201793
126,126,0.06278026905829596,0.0006278026905829596
252,252,0.12556053811659193,0.0006278026905829596
504,504,0.25112107623318386,0.0
1008,1008,0.5022421524663677,0.0
T,2007,1.0,1.0
