book,CAGR,Sharpe,MaxDD,Vol,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,Ebar,turnover_yr,panel,target,lookback,sbar,s_at_cap,s_min,a_h1,a_h2,a_dd,pass4a,b_h1,b_h2,b_oos,b_dd,b_cagr,pass4b,o_h1,o_h2,o_sharpe,o_dd,o_cagr,pass4b_oos
vt t=0.05 L=21,0.05712566655632689,1.0225059065913222,-0.08428806276898138,0.05586521779758339,1.1659320009453746,0.8830986438931628,0.05365007801198507,0.9735907589636654,-0.0501065554015353,0.06000251738232132,1.0619638747791496,-0.0842880627689806,1.29051977024104,0.8104794985456611,0.442340007717813,3.8568863548917562,B136,0.05,21,0.6383910147146936,0.1162423969362469,0.19099784300085418,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=42,0.05812807930031738,1.06218611590999,-0.07330920136609576,0.054605154284488755,1.1969697754237019,0.9322237520178651,0.05422175009496644,1.0054571127651903,-0.047727715729709574,0.061362663647062554,1.1079216997647157,-0.0733092013660962,1.314949913891847,0.8793804812492533,0.42464433525454953,2.6098845154937287,B136,0.05,42,0.6107344767956105,0.07141248028835323,0.23675942432584654,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=63,0.056890631885535115,1.0521689411649688,-0.08117451930973574,0.05398019712463309,1.2102726674426114,0.9007217751639506,0.05359884647786295,1.0084734061744771,-0.05288139829196625,0.05961491130033303,1.0872349940046324,-0.08117451930973563,1.2974521649748136,0.8545919861640011,0.4169360547466874,2.1901915424030474,B136,0.05,63,0.5977101654937989,0.050236539761207476,0.28146149783235164,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=126,0.05638753999880519,1.0474549712609302,-0.08804841483701975,0.05375693661014046,1.2664147148746485,0.8375948854833951,0.05760844569782009,1.0815459154268627,-0.04825308964738051,0.055381053145314496,1.0198560100422163,-0.08804841483701975,1.138155280863209,0.8914488806252047,0.4033115996957349,1.800758600788364,B136,0.05,126,0.5752829241938412,0.01419238567244875,0.3339897843017056,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=252,0.05935471581325302,1.106406239585245,-0.08737618837078776,0.05341147576147709,1.2677800521685396,0.9481763973130343,0.058999126700337357,1.0911590952385504,-0.04994718042426005,0.05964825448144917,1.1190174408579885,-0.08737618837078764,1.248992300817025,0.9772111442584215,0.3977685298164077,1.585361439030636,B136,0.05,252,0.562001299959808,0.0,0.33832798721134383,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=21,0.0666407261102846,1.028164173900162,-0.09479958632350816,0.06480067351848334,1.153039044558655,0.9068246373190342,0.061946611104567006,0.9661939379130754,-0.0592497654409494,0.07053015222224013,1.078506173367925,-0.09479958632350494,1.28552415261834,0.8516139052818252,0.5117551790021634,4.012999049574331,B136,0.06,21,0.7330852345624977,0.23045731020500113,0.22919741160102497,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=42,0.06908421464186931,1.0721657448796842,-0.08690169879581666,0.06424240362723974,1.2106580972477994,0.9378839887063103,0.06503026018197922,1.0200259800174785,-0.057617231637855926,0.07244134639077981,1.1144493481170286,-0.086901698795817,1.3120539405325686,0.8970979528261253,0.499067338784638,2.8953373352697884,B136,0.06,42,0.7123245757620988,0.15070961928362245,0.2841113091910158,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=63,0.06787009712727188,1.063292189172915,-0.09705503439897001,0.06367521147987823,1.2240854025933974,0.9074970867037188,0.06451003014198342,1.0218995869186491,-0.06318487762499336,0.070650967582091,1.0967702061859639,-0.09705503439896968,1.2938501224120909,0.8800577925498912,0.4920536922455464,2.4685807739553915,B136,0.06,63,0.7012043282973007,0.11601712097319217,0.33775379739882194,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=126,0.06747542757093261,1.052678353497657,-0.10522616253602612,0.06398491697282092,1.2753217612272834,0.8400170040786978,0.06894443224838853,1.0884075483138629,-0.05772488362362849,0.06626465684550054,1.0238761891202235,-0.10522616253602612,1.134483840294082,0.9031089386845516,0.4817590244397849,2.1175520211029655,B136,0.06,126,0.6834274757593618,0.04100022527596305,0.4007877411620467,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=252,0.07013232762796973,1.1060740956861121,-0.1044188023359921,0.06309255480183883,1.2738617094633966,0.9476449686682734,0.06832080686660613,1.0905661165135518,-0.05982686186020714,0.07162959240004452,1.1184945583507189,-0.10441880233599188,1.247682253401236,0.9775104180743444,0.47387675688272624,1.8735787514188322,B136,0.06,252,0.6678798208213348,0.0,0.4059935846536125,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
