axis,bar,claims,claims_on_a_thin_rung,share
N,3,776,26,0.03350515463917526
N,5,776,30,0.03865979381443299
N,10,776,42,0.05412371134020619
N,20,776,73,0.09407216494845361
N,50,776,103,0.1327319587628866
GROSS,3,966,14,0.014492753623188406
GROSS,5,966,14,0.014492753623188406
GROSS,10,966,23,0.023809523809523808
GROSS,20,966,86,0.08902691511387163
GROSS,50,966,152,0.15734989648033126
COST,3,2078,67,0.03224254090471607
COST,5,2078,105,0.05052935514918191
COST,10,2078,139,0.06689124157844081
COST,20,2078,178,0.08565928777670838
COST,50,2078,229,0.11020211742059673
CADENCE,3,794,0,0.0
CADENCE,5,794,0,0.0
CADENCE,10,794,0,0.0
CADENCE,20,794,0,0.0
CADENCE,50,794,0,0.0
