panel,cost,order,seed,m,stat,pick,top2,OOS_4b,OOS_4a,FULL_4b,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,IS_Sharpe
U56,0.0,GRID,,2,IS_SHARPE,"(0.01, 0.5)",True,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,2,IS_CAGR,"(0.01, 0.5)",True,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,2,IS_MINMARG,"(0.01, 0.5)",True,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,2,IS_LEGS,"(0.01, 0.5)",True,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,2,CTRL_RANDOM,"(0.01, 0.5)",False,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,3,IS_SHARPE,"(0.01, 0.5)",True,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,3,IS_CAGR,"(0.02, 0.5)",True,False,False,False,1.3101278876202846,0.06358872220379186,-0.07962225765826647,1.1158213765575535
U56,0.0,GRID,,3,IS_MINMARG,"(0.02, 0.5)",True,False,False,False,1.3101278876202846,0.06358872220379186,-0.07962225765826647,1.1158213765575535
U56,0.0,GRID,,3,IS_LEGS,"(0.01, 0.5)",True,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,3,CTRL_RANDOM,"(0.01, 0.5)",False,False,False,False,1.306633353872402,0.06290790019949744,-0.08076920565503742,1.116052657443444
U56,0.0,GRID,,4,IS_SHARPE,"(0.03, 0.5)",True,False,False,False,1.3022203375746273,0.06397585740093614,-0.0809998333862445,1.1299229315179777
U56,0.0,GRID,,4,IS_CAGR,"(0.03, 0.5)",True,False,False,False,1.3022203375746273,0.06397585740093614,-0.0809998333862445,1.1299229315179777
U56,0.0,GRID,,4,IS_MINMARG,"(0.03, 0.5)",True,False,False,False,1.3022203375746273,0.06397585740093614,-0.0809998333862445,1.1299229315179777
