panel,vint,char,flavour,level,seed,BW,n_from_B,n_from_S,cvol,tpers,momac
LIVE~momac~POOL~L0.763087~0~bw0.500,LIVE,momac,POOL,0.763087,0,0.5,2,34,0.5619142287869484,0.9609907502173134,0.7986567515070547
LIVE~momac~POOL~L0.763087~1~bw0.500,LIVE,momac,POOL,0.763087,1,0.5,4,32,0.5087025645464561,0.959517912482349,0.7760230098569285
LIVE~momac~POOL~L0.763087~2~bw0.500,LIVE,momac,POOL,0.763087,2,0.5,2,34,0.4698769880349982,0.9585551841102666,0.7906303316752097
LIVE~momac~POOL~L0.763087~3~bw0.500,LIVE,momac,POOL,0.763087,3,0.5,0,36,0.46884981490192995,0.9597612822961792,0.8003410500173597
LIVE~momac~POOL~L0.763087~4~bw0.500,LIVE,momac,POOL,0.763087,4,0.5,3,33,0.5265663676212918,0.9608746920444459,0.7688490753935733
LIVE~momac~POOL~L0.763087~5~bw0.500,LIVE,momac,POOL,0.763087,5,0.5,3,33,0.5070406565074226,0.9605469865643429,0.7882090828540145
LIVE~momac~POOL~L0.801960~0~bw0.500,LIVE,momac,POOL,0.80196,0,0.5,6,30,0.4090716348566202,0.9618333545084181,0.8181586721110492
LIVE~momac~POOL~L0.801960~1~bw0.500,LIVE,momac,POOL,0.80196,1,0.5,9,27,0.4362946521827382,0.9637899745875972,0.8166804477035101
LIVE~momac~POOL~L0.801960~2~bw0.500,LIVE,momac,POOL,0.80196,2,0.5,4,32,0.4710939591217713,0.9619535267122248,0.813926124661362
LIVE~momac~POOL~L0.801960~3~bw0.500,LIVE,momac,POOL,0.80196,3,0.5,12,24,0.45246179114377605,0.9631302993379772,0.8264366441426415
LIVE~momac~POOL~L0.801960~4~bw0.500,LIVE,momac,POOL,0.80196,4,0.5,8,28,0.4461961935102102,0.9637431805072949,0.8233543888259494
LIVE~momac~POOL~L0.801960~5~bw0.500,LIVE,momac,POOL,0.80196,5,0.5,4,32,0.5091474283659393,0.9614200954806162,0.8335075611224718
LIVE~momac~POOL~L0.822673~0~bw0.500,LIVE,momac,POOL,0.822673,0,0.5,8,28,0.41342628303999907,0.9639014675528643,0.7880214596161851
LIVE~momac~POOL~L0.822673~1~bw0.500,LIVE,momac,POOL,0.822673,1,0.5,5,31,0.4402254683616007,0.9655229473759541,0.8295590022878959
LIVE~momac~POOL~L0.822673~2~bw0.500,LIVE,momac,POOL,0.822673,2,0.5,4,32,0.5264595788556045,0.9627428286580613,0.8350883449765979
LIVE~momac~POOL~L0.822673~3~bw0.500,LIVE,momac,POOL,0.822673,3,0.5,5,31,0.43379031446736865,0.9618140935728177,0.8295928796478138
LIVE~momac~POOL~L0.822673~4~bw0.500,LIVE,momac,POOL,0.822673,4,0.5,7,29,0.5227170030437605,0.9671439387085352,0.8381473443184038
LIVE~momac~POOL~L0.822673~5~bw0.500,LIVE,momac,POOL,0.822673,5,0.5,3,33,0.4511065752727277,0.9620947783916249,0.8297973789075888
LIVE~momac~POOL~L0.834123~0~bw0.500,LIVE,momac,POOL,0.834123,0,0.5,8,28,0.4879984890961283,0.9631292907508227,0.8424477900553939
LIVE~momac~POOL~L0.834123~1~bw0.500,LIVE,momac,POOL,0.834123,1,0.5,8,28,0.4558277048923977,0.9676066719615428,0.8418824893068317
LIVE~momac~POOL~L0.834123~2~bw0.500,LIVE,momac,POOL,0.834123,2,0.5,6,30,0.5142585526615184,0.9643018429204404,0.834595083086249
LIVE~momac~POOL~L0.834123~3~bw0.500,LIVE,momac,POOL,0.834123,3,0.5,5,31,0.5076481980237706,0.9621105153117804,0.8411283703465212
LIVE~momac~POOL~L0.834123~4~bw0.500,LIVE,momac,POOL,0.834123,4,0.5,5,31,0.4965889427318449,0.9633146457938493,0.8171952028336649
LIVE~momac~POOL~L0.834123~5~bw0.500,LIVE,momac,POOL,0.834123,5,0.5,6,30,0.44934165805815546,0.9643061536767077,0.8310028485393421
LIVE~momac~POOL~L0.843302~0~bw0.500,LIVE,momac,POOL,0.843302,0,0.5,3,33,0.5018419915276084,0.9631484426938841,0.8396315904236995
LIVE~momac~POOL~L0.843302~1~bw0.500,LIVE,momac,POOL,0.843302,1,0.5,9,27,0.43538936851033905,0.9660710850910268,0.8447316875713967
LIVE~momac~POOL~L0.843302~2~bw0.500,LIVE,momac,POOL,0.843302,2,0.5,6,30,0.4186565903880295,0.9650897091762024,0.8351771032185172
LIVE~momac~POOL~L0.843302~3~bw0.500,LIVE,momac,POOL,0.843302,3,0.5,8,28,0.4468655610582401,0.9638205506707125,0.839128867955074
LIVE~momac~POOL~L0.843302~4~bw0.500,LIVE,momac,POOL,0.843302,4,0.5,6,30,0.4438556116367176,0.9647772796948032,0.8474087541048264
LIVE~momac~POOL~L0.843302~5~bw0.500,LIVE,momac,POOL,0.843302,5,0.5,6,30,0.4597151379090427,0.9644646166815127,0.8508649141152017
LIVE~momac~POOL~L0.848981~0~bw0.500,LIVE,momac,POOL,0.848981,0,0.5,9,27,0.4377377076691542,0.9639535750241406,0.8403065823821975
LIVE~momac~POOL~L0.848981~1~bw0.500,LIVE,momac,POOL,0.848981,1,0.5,3,33,0.4483085730544599,0.9653845464039787,0.8384800229263821
LIVE~momac~POOL~L0.848981~2~bw0.500,LIVE,momac,POOL,0.848981,2,0.5,4,32,0.42631309916398585,0.9638334845206082,0.8335990792347218
