scheme,family,resid,draws,cells,real_claims,real_claim_rate,null_claim_rate_p5,null_claim_rate_med,null_claim_rate_p95,real_defined,real_survive,real_share,null_share_p5,null_share_med,null_share_p95,excess,verdict
FAM2,DD,partial,50,72,28,0.3888888888888889,0.2361111111111111,0.3055555555555556,0.4027777777777778,28,6,0.21428571428571427,0.4474789915966386,0.6666666666666666,0.8669632925472747,-0.45238095238095233,BELOW
FAM2,DD,partial,100,72,28,0.3888888888888889,0.22152777777777777,0.3055555555555556,0.4041666666666666,28,6,0.21428571428571427,0.4684873949579832,0.6666666666666666,0.8523627075351213,-0.45238095238095233,BELOW
FAM2,DD,partial,200,72,28,0.3888888888888889,0.19444444444444445,0.2916666666666667,0.4305555555555556,28,6,0.21428571428571427,0.434472049689441,0.6666666666666666,0.834259259259259,-0.45238095238095233,BELOW
FAM2,DD,partial,400,72,28,0.3888888888888889,0.19444444444444445,0.2916666666666667,0.4444444444444444,28,6,0.21428571428571427,0.434472049689441,0.6521739130434783,0.8214285714285714,-0.43788819875776397,BELOW
FAM2,DD,logx,50,72,28,0.3888888888888889,0.2361111111111111,0.3055555555555556,0.4027777777777778,28,5,0.17857142857142858,0.30714285714285716,0.5119047619047619,0.7518709677419354,-0.33333333333333326,BELOW
FAM2,DD,logx,100,72,28,0.3888888888888889,0.22152777777777777,0.3055555555555556,0.4041666666666666,28,5,0.17857142857142858,0.29136904761904764,0.5358974358974359,0.7199092741935483,-0.3573260073260073,BELOW
FAM2,DD,logx,200,72,28,0.3888888888888889,0.19444444444444445,0.2916666666666667,0.4305555555555556,28,5,0.17857142857142858,0.29136904761904764,0.5358974358974359,0.7250278086763067,-0.3573260073260073,BELOW
FAM2,DD,logx,400,72,28,0.3888888888888889,0.19444444444444445,0.2916666666666667,0.4444444444444444,28,5,0.17857142857142858,0.3038363171355499,0.5217391304347826,0.7188125,-0.343167701863354,BELOW
FAM2,DD,loglog,50,72,28,0.3888888888888889,0.2361111111111111,0.3055555555555556,0.4027777777777778,28,0,0.0,0.0,0.0,0.06084558823529411,0.0,INSIDE
FAM2,DD,loglog,100,72,28,0.3888888888888889,0.22152777777777777,0.3055555555555556,0.4041666666666666,28,0,0.0,0.0,0.0,0.06270833333333332,0.0,INSIDE
FAM2,DD,loglog,200,72,28,0.3888888888888889,0.19444444444444445,0.2916666666666667,0.4305555555555556,28,0,0.0,0.0,0.0,0.06666666666666667,0.0,INSIDE
FAM2,DD,loglog,400,72,28,0.3888888888888889,0.19444444444444445,0.2916666666666667,0.4444444444444444,28,0,0.0,0.0,0.0,0.06270833333333314,0.0,INSIDE
FAM2,RET,partial,50,108,63,0.5833333333333334,0.30972222222222223,0.39814814814814814,0.5101851851851851,63,50,0.7936507936507936,0.682468694096601,0.8176910299003322,0.9156698564593301,-0.02404023624953855,INSIDE
FAM2,RET,partial,100,108,63,0.5833333333333334,0.3148148148148148,0.39814814814814814,0.4912037037037037,63,50,0.7936507936507936,0.6974060822898033,0.8315602836879432,0.9146240601503759,-0.03790949003714961,INSIDE
