panel,n,form,N,pass4b,share4b,pass4a_v2,both,med_Sharpe,med_MaxDD,med_CAGR,med_gross,med_OOS_Sharpe
B136,5,NOM,3000,61,0.02033333333333333,0,0,0.8338422182532554,-0.23067074877226257,0.1269558408737228,0.7319218241042346,0.7814261002343539
B136,5,MATCH,3000,48,0.016,0,0,0.8234505609480847,-0.23918946041427896,0.12716524275938434,0.7389250814332247,0.7715389942535711
B136,10,NOM,3000,433,0.14433333333333334,0,0,0.9131353432507756,-0.2004823739138482,0.11814053571815097,0.7259771986970684,0.8820815171136358
B136,10,MATCH,3000,260,0.08666666666666667,0,0,0.8936316028014266,-0.2162689565506581,0.12078469202828424,0.7436805232407839,0.861749250544095
B136,15,NOM,3000,628,0.20933333333333334,2,2,0.9526635615108971,-0.18773515668625762,0.10968606078349397,0.7135722041259501,0.9372272873566477
B136,15,MATCH,3000,497,0.16566666666666666,0,0,0.9261193269634975,-0.209337633083509,0.11622856607278453,0.7459283387622151,0.9093479477587652
B136,20,NOM,3000,747,0.249,21,1,0.973355273302626,-0.17906228701292815,0.10404557571465933,0.6968444625407165,0.9700145472307928
B136,20,MATCH,3000,680,0.22666666666666666,0,0,0.9442844766254619,-0.20512095514684403,0.1132994365020843,0.7469715453828253,0.9385852734015436
B136,30,NOM,3000,755,0.25166666666666665,40,0,1.001100947156901,-0.14799727947802177,0.09037259816928755,0.6361292073832792,1.0155775796939865
B136,30,MATCH,3000,941,0.31366666666666665,0,0,0.9658005826236935,-0.19936668277015712,0.1107235763207054,0.7481110255801952,0.9717380427306392
B136,40,NOM,3000,500,0.16666666666666666,72,0,1.012778066921436,-0.1192788596504396,0.06939101221910782,0.5048758143322476,1.0383985836791463
B136,40,MATCH,3000,972,0.324,0,0,0.9738158026912432,-0.19754069044233813,0.10900476389697333,0.7485961203886352,0.9796020930439425
SMALL484,5,NOM,3000,0,0.0,0,0,0.2763728267131389,-0.4409885729660102,0.034947971086372265,0.7191554467564258,0.2889046749560753
SMALL484,5,MATCH,3000,0,0.0,0,0,0.27504485173482374,-0.4801091621576604,0.035965663292725325,0.7386168910648717,0.289879602516792
SMALL484,10,NOM,3000,0,0.0,0,0,0.2921299810908998,-0.3404089461943761,0.03161274182810636,0.6658200734394125,0.2928764660183201
SMALL484,10,MATCH,3000,0,0.0,0,0,0.29754763787670346,-0.4336081986036721,0.03800067233329618,0.740485479687591,0.3040415880318158
SMALL484,15,NOM,3000,0,0.0,2,0,0.29327758378068536,-0.28668009571479847,0.02614293124761158,0.5696450428396572,0.27292800638430487
SMALL484,15,MATCH,3000,0,0.0,0,0,0.298531781980729,-0.4302271322463787,0.03689813025043964,0.7400906722816148,0.2911241968854755
SMALL484,20,NOM,3000,0,0.0,2,0,0.28469390006661577,-0.2459074691651103,0.02118445798199009,0.4533736230110158,0.24872382211842442
SMALL484,20,MATCH,3000,0,0.0,0,0,0.28806694240736735,-0.4326438264019284,0.0347087004327542,0.7395503503054892,0.2717262719949918
SMALL484,30,NOM,3000,0,0.0,3,0,0.27778621331891606,-0.18134363831480604,0.015200445849343103,0.3050183598531212,0.22204610285579085
SMALL484,30,MATCH,3000,0,0.0,0,0,0.28308737978366594,-0.43239391573244507,0.03316583763270531,0.7390032563620763,0.2604447211593309
SMALL484,40,NOM,3000,0,0.0,3,0,0.2721750317742415,-0.13881397183567323,0.01173132195459703,0.22876376988984085,0.21683562635406217
SMALL484,40,MATCH,3000,0,0.0,0,0,0.2828251457256793,-0.43234191435472125,0.0331394063700341,0.73873208964225,0.26046572189793216
