panel,source,kind,etf_share,seed,r_target,n,n_elig,r_real,k,dS,dC,rev,rev_eps0
U56,U56,NAMED,,-1,0.05,2,41.0,0.04878048780487805,56,0.1987220030190998,-0.09146174999299794,True,True
U56,U56,NAMED,,-1,0.1,4,41.0,0.0975609756097561,56,0.0349027606134531,-0.09090057440390464,True,True
U56,U56,NAMED,,-1,0.2,8,41.0,0.1951219512195122,56,0.1233390695867902,-0.0351923305601205,True,True
U56,U56,NAMED,,-1,0.35,14,41.0,0.34146341463414637,56,0.028234235617017545,-0.02938617036320701,True,True
U56,U56,NAMED,,-1,0.5,20,41.0,0.4878048780487805,56,-0.014510376250917112,-0.023835405840474833,False,False
U56,U56,NAMED,,-1,0.75,31,41.0,0.7560975609756098,56,-0.020297166652237353,-0.012208916818171378,False,False
U56,U56,NAMED,,-1,1.0,41,41.0,1.0,56,-0.000346063358308335,-0.002471545858070634,False,False
B136,B136,NAMED,,-1,0.05,5,99.0,0.050505050505050504,136,0.15016715043814133,-0.0591701442302921,True,True
B136,B136,NAMED,,-1,0.1,10,99.0,0.10101010101010101,136,0.13155211260670807,-0.03535922627603738,True,True
B136,B136,NAMED,,-1,0.2,20,99.0,0.20202020202020202,136,0.08293346929681589,-0.02276743668790404,True,True
B136,B136,NAMED,,-1,0.35,35,99.0,0.35353535353535354,136,0.05607385652809482,-0.013444166659964063,True,True
B136,B136,NAMED,,-1,0.5,50,99.0,0.5050505050505051,136,0.02320360425340362,-0.010405144790323506,True,True
B136,B136,NAMED,,-1,0.75,74,99.0,0.7474747474747475,136,0.015787345745337467,-0.004347467084493628,True,True
B136,B136,NAMED,,-1,1.0,99,99.0,1.0,136,-0.000711317328840888,-0.0017486207627541717,False,False
BSTK100,BSTK100,NAMED,,-1,0.05,4,72.0,0.05555555555555555,100,0.0843274404029547,-0.07058335063538879,True,True
BSTK100,BSTK100,NAMED,,-1,0.1,7,72.0,0.09722222222222222,100,0.15200206680459893,-0.027825381402763805,True,True
BSTK100,BSTK100,NAMED,,-1,0.2,14,72.0,0.19444444444444445,100,0.06635137658455736,-0.022631951910386583,True,True
