period,D,assign,bar,subset,n,was_inside,now_inside,to_inside,to_outside,net,moved_share
FULL,3,POOLED,1.0,ALL,607,257,257,0,0,0,0.0
FULL,3,POOLED,1.0,2PANEL,345,120,120,0,0,0,0.0
FULL,3,POOLED,1.0,3PANEL,262,137,137,0,0,0,0.0
FULL,3,POOLED,2.0,ALL,607,312,312,0,0,0,0.0
FULL,3,POOLED,2.0,2PANEL,345,141,141,0,0,0,0.0
FULL,3,POOLED,2.0,3PANEL,262,171,171,0,0,0,0.0
FULL,3,MIN,1.0,ALL,607,257,228,0,29,-29,0.047775947281713346
FULL,3,MIN,1.0,2PANEL,345,120,110,0,10,-10,0.028985507246376812
FULL,3,MIN,1.0,3PANEL,262,137,118,0,19,-19,0.07251908396946564
FULL,3,MIN,2.0,ALL,607,312,288,0,24,-24,0.039538714991762765
FULL,3,MIN,2.0,2PANEL,345,141,134,0,7,-7,0.020289855072463767
FULL,3,MIN,2.0,3PANEL,262,171,154,0,17,-17,0.0648854961832061
FULL,3,MEAN,1.0,ALL,607,257,255,0,2,-2,0.0032948929159802307
FULL,3,MEAN,1.0,2PANEL,345,120,118,0,2,-2,0.005797101449275362
FULL,3,MEAN,1.0,3PANEL,262,137,137,0,0,0,0.0
FULL,3,MEAN,2.0,ALL,607,312,312,2,2,0,0.006589785831960461
FULL,3,MEAN,2.0,2PANEL,345,141,141,2,2,0,0.011594202898550725
FULL,3,MEAN,2.0,3PANEL,262,171,171,0,0,0,0.0
FULL,3,MAX,1.0,ALL,607,257,268,11,0,11,0.018121911037891267
FULL,3,MAX,1.0,2PANEL,345,120,121,1,0,1,0.002898550724637681
FULL,3,MAX,1.0,3PANEL,262,137,147,10,0,10,0.03816793893129771
FULL,3,MAX,2.0,ALL,607,312,340,29,1,28,0.04942339373970346
FULL,3,MAX,2.0,2PANEL,345,141,148,8,1,7,0.02608695652173913
FULL,3,MAX,2.0,3PANEL,262,171,192,21,0,21,0.08015267175572519
FULL,3,RSS,1.0,ALL,607,257,300,43,0,43,0.07084019769357495
FULL,3,RSS,1.0,2PANEL,345,120,132,12,0,12,0.034782608695652174
FULL,3,RSS,1.0,3PANEL,262,137,168,31,0,31,0.1183206106870229
FULL,3,RSS,2.0,ALL,607,312,350,38,0,38,0.06260296540362438
FULL,3,RSS,2.0,2PANEL,345,141,156,15,0,15,0.043478260869565216
FULL,3,RSS,2.0,3PANEL,262,171,194,23,0,23,0.08778625954198473
FULL,6,POOLED,1.0,ALL,607,259,259,0,0,0,0.0
FULL,6,POOLED,1.0,2PANEL,345,121,121,0,0,0,0.0
FULL,6,POOLED,1.0,3PANEL,262,138,138,0,0,0,0.0
FULL,6,POOLED,2.0,ALL,607,308,308,0,0,0,0.0
FULL,6,POOLED,2.0,2PANEL,345,140,140,0,0,0,0.0
FULL,6,POOLED,2.0,3PANEL,262,168,168,0,0,0,0.0
FULL,6,MIN,1.0,ALL,607,259,251,0,8,-8,0.013179571663920923
FULL,6,MIN,1.0,2PANEL,345,121,116,0,5,-5,0.014492753623188406
FULL,6,MIN,1.0,3PANEL,262,138,135,0,3,-3,0.011450381679389313
FULL,6,MIN,2.0,ALL,607,308,301,1,8,-7,0.014827018121911038
FULL,6,MIN,2.0,2PANEL,345,140,138,1,3,-2,0.011594202898550725
FULL,6,MIN,2.0,3PANEL,262,168,163,0,5,-5,0.019083969465648856
FULL,6,MEAN,1.0,ALL,607,259,259,0,0,0,0.0
FULL,6,MEAN,1.0,2PANEL,345,121,121,0,0,0,0.0
FULL,6,MEAN,1.0,3PANEL,262,138,138,0,0,0,0.0
FULL,6,MEAN,2.0,ALL,607,308,308,1,1,0,0.0032948929159802307
FULL,6,MEAN,2.0,2PANEL,345,140,140,1,1,0,0.005797101449275362
FULL,6,MEAN,2.0,3PANEL,262,168,168,0,0,0,0.0
FULL,6,MAX,1.0,ALL,607,259,267,8,0,8,0.013179571663920923
FULL,6,MAX,1.0,2PANEL,345,121,122,1,0,1,0.002898550724637681
FULL,6,MAX,1.0,3PANEL,262,138,145,7,0,7,0.026717557251908396
FULL,6,MAX,2.0,ALL,607,308,324,16,0,16,0.026359143327841845
FULL,6,MAX,2.0,2PANEL,345,140,148,8,0,8,0.02318840579710145
FULL,6,MAX,2.0,3PANEL,262,168,176,8,0,8,0.030534351145038167
FULL,6,RSS,1.0,ALL,607,259,300,41,0,41,0.06754530477759473
FULL,6,RSS,1.0,2PANEL,345,121,132,11,0,11,0.03188405797101449
FULL,6,RSS,1.0,3PANEL,262,138,168,30,0,30,0.11450381679389313
FULL,6,RSS,2.0,ALL,607,308,361,53,0,53,0.08731466227347612
FULL,6,RSS,2.0,2PANEL,345,140,168,28,0,28,0.08115942028985507
FULL,6,RSS,2.0,3PANEL,262,168,193,25,0,25,0.09541984732824428
FULL,12,POOLED,1.0,ALL,607,260,260,0,0,0,0.0
FULL,12,POOLED,1.0,2PANEL,345,121,121,0,0,0,0.0
FULL,12,POOLED,1.0,3PANEL,262,139,139,0,0,0,0.0
FULL,12,POOLED,2.0,ALL,607,315,315,0,0,0,0.0
FULL,12,POOLED,2.0,2PANEL,345,145,145,0,0,0,0.0
FULL,12,POOLED,2.0,3PANEL,262,170,170,0,0,0,0.0
FULL,12,MIN,1.0,ALL,607,260,228,0,32,-32,0.05271828665568369
FULL,12,MIN,1.0,2PANEL,345,121,111,0,10,-10,0.028985507246376812
FULL,12,MIN,1.0,3PANEL,262,139,117,0,22,-22,0.08396946564885496
FULL,12,MIN,2.0,ALL,607,315,294,0,21,-21,0.03459637561779242
FULL,12,MIN,2.0,2PANEL,345,145,134,0,11,-11,0.03188405797101449
FULL,12,MIN,2.0,3PANEL,262,170,160,0,10,-10,0.03816793893129771
