cadence,cost,rho,n_pass,n,mean_base,max_base,base_pass,base_fail,above05,above50,outside,mean_drag
W,0.0,0.5595748197904789,7,30,0.19749999999999998,1.0,0.5971428571428571,0.0758695652173913,12,6,1,0.0
W,2.0,0.5633655311911141,7,30,0.10691666666666667,0.9525,0.35035714285714287,0.03282608695652174,10,2,1,32.16317852180303
W,5.0,0.4721743032878207,7,30,0.02,0.2075,0.06607142857142857,0.005978260869565218,4,0,4,80.40794630450758
W,10.0,-0.07283570407292297,4,30,0.00025,0.0075,0.0,0.00028846153846153843,0,0,4,160.81589260901515
W,25.0,,2,30,0.0,0.0,0.0,0.0,0,0,2,402.039731522538
W,50.0,,0,30,0.0,0.0,,0.0,0,0,0,804.079463045076
M,0.0,0.3902653080328026,3,30,0.08825,0.9475,0.3525,0.058888888888888886,9,2,1,0.0
M,2.0,0.39741507055365405,3,30,0.08025000000000002,0.9075,0.33916666666666667,0.051481481481481496,9,2,1,14.548290148244366
M,5.0,0.4187051636190284,3,30,0.06391666666666666,0.7575,0.2866666666666666,0.03916666666666666,7,1,1,36.370725370610906
M,10.0,0.4470311710193921,3,30,0.03433333333333333,0.405,0.16416666666666668,0.019907407407407412,4,0,1,72.74145074122181
M,25.0,0.5042934284921977,3,30,0.0018333333333333335,0.035,0.015000000000000001,0.00037037037037037035,0,0,3,181.85362685305455
M,50.0,-0.04962916669854652,2,30,8.333333333333333e-05,0.0025,0.0,8.928571428571429e-05,0,0,2,363.7072537061091
Q,0.0,,0,30,0.01791666666666666,0.18,,0.01791666666666666,4,0,0,0.0
Q,2.0,,0,30,0.017166666666666663,0.175,,0.017166666666666663,4,0,0,7.0961811232769625
Q,5.0,,0,30,0.01566666666666667,0.1625,,0.01566666666666667,4,0,0,17.740452808192405
Q,10.0,,0,30,0.012583333333333334,0.135,,0.012583333333333334,4,0,0,35.48090561638481
Q,25.0,,0,30,0.006416666666666667,0.085,,0.006416666666666667,1,0,0,88.70226404096204
Q,50.0,,0,30,0.0008333333333333333,0.0175,,0.0008333333333333333,0,0,0,177.40452808192407
