chooser,moved,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,mean_full_Sharpe,mean_IS_Sharpe,wins_vs_anchor,ties,mean_gap,se_gap,t_gap,se_gap_panelclustered,t_gap_panelclustered,n4a,n4b,n4b_oos,beats_SPY_OOS,beats_LIVE_OOS
C_NULLZ,20,0.8291084355286934,0.1253360871926351,-0.2680047704812781,0.9151845315509304,1.0739912306853296,14,4,0.07134450225661103,0.026842171940733718,2.6579258345463406,0.018893892621338924,3.776061592307026,0,2,2,14,1
C_ISDD,22,0.8199000706237133,0.10149273947297337,-0.2252281148348254,0.892636763938647,1.030359251581602,9,2,0.06213613735163098,0.03608275959751777,1.7220450443570146,0.04186704040086327,1.4841301595884906,0,0,0,15,1
C_ISCALMAR,21,0.8119648354476824,0.1298841223119563,-0.27824268739417307,0.9024903794356157,1.070083134066383,14,3,0.05420090217560019,0.030358882117978152,1.7853391954607938,0.02874994861236412,1.8852521410174177,0,2,2,14,1
C_TIID,21,0.8068649754841618,0.12873712740685775,-0.2762789068057079,0.9069323546108915,1.0877091149000109,15,3,0.049101042212079386,0.028670355368507813,1.7126066831390976,0.01777344121670265,2.7626075115907502,0,3,4,14,1
C_TBLOCK,21,0.8068649754841618,0.12873712740685775,-0.2762789068057079,0.9069323546108915,1.0877091149000109,15,3,0.049101042212079386,0.028670355368507813,1.7126066831390976,0.01777344121670265,2.7626075115907502,0,3,4,14,1
C_RANDOM,19,0.8068327557748608,0.11565957830461819,-0.25562676675313223,0.8647135424539183,0.9745794018534467,12,5,0.049068822502778504,0.030999767074937217,1.5828771353075686,0.039099538589492784,1.2549719069054377,0,4,4,14,0
C_ISSHARPE,21,0.7995462697075902,0.1323371769716172,-0.2856378714411863,0.9019756592811055,1.089481329069097,15,3,0.04178233643550792,0.0301949320155997,1.3837532872709162,0.009922203442202725,4.210993725223624,0,3,3,13,1
C_NULLPCT,21,0.7981098094117494,0.1053760090623554,-0.24354082683997183,0.8830885237176078,1.0321448416167378,10,3,0.04034587613966702,0.03146043248198225,1.2824323430001658,0.01750000319298982,2.3054782159027742,0,1,1,13,0
C_MEDIAN,15,0.7958589820685957,0.11976119973303838,-0.2653021112726337,0.8627573577132627,0.9895639675320514,12,9,0.03809504879651335,0.025098027523293338,1.5178503076051513,0.031464851259481126,1.2107175871373104,0,4,4,13,0
C_TFOLD,21,0.7919042711385046,0.12518024617106074,-0.27611655248711303,0.8947229131459177,1.0815001743216206,14,3,0.0341403378664222,0.029813310193456972,1.1451374451507523,0.006066693002119053,5.627503790697373,0,2,2,13,1
C_ISCAGR,22,0.7856576478004769,0.13216725613849178,-0.29364233459098343,0.8927120597825636,1.0828498218671838,14,2,0.027893714528394526,0.03806312431647045,0.7328277704288326,0.029342668726545323,0.9506195495830965,0,2,2,12,2
C_MONO,8,0.7739656583208977,0.12485235823549201,-0.2793094913982373,0.8563522827941924,1.0030751345426474,8,16,0.016201725048815268,0.010559528846642725,1.5343227225489715,0.007948475292610108,2.0383437643542037,0,3,3,12,0
C_BARIID,2,0.7609627166034225,0.11136631626843992,-0.25178385366623135,0.8568375778922063,1.0262423408516843,1,22,0.0031987833313401257,0.010815578008319322,0.29575703941847836,0.012793648894170393,0.25002900718947324,0,3,3,12,1
C_ANCHOR,0,0.7577639332720825,0.11038738106781072,-0.2500653562615813,0.8443912004732166,0.9978949162197027,0,24,0.0,0.0,,0.0,,0,4,4,12,0
C_BARBLOCK,2,0.7522836315128044,0.1122978979014096,-0.25525632868293835,0.845514834330659,1.010978826987363,1,22,-0.005480301759278087,0.005745272714591868,-0.9538801779346685,0.005480301759278087,-1.0,0,3,3,12,0
C_BARFOLD,5,0.7424526056629638,0.11277070415385237,-0.26005752499559537,0.8420753131535835,1.0169174040481708,3,19,-0.01531132760911857,0.011388062370102129,-1.3445068275456993,0.008440400691760023,-1.8140522195902757,0,3,3,11,0
