grouping,group,n,outcome,statistic,base_rate,auc
LEVEL,market,108,pass4a,SD,0.009259259259259259,0.34579439252336447
LEVEL,market,108,pass4a,IQR,0.009259259259259259,0.2757009345794392
LEVEL,market,108,pass4a,SDDIFF,0.009259259259259259,0.21962616822429906
LEVEL,market,108,pass4a,MAD,0.009259259259259259,0.34579439252336447
LEVEL,market,108,pass4b,SD,0.16666666666666666,0.23425925925925925
LEVEL,market,108,pass4b,IQR,0.16666666666666666,0.3
LEVEL,market,108,pass4b,SDDIFF,0.16666666666666666,0.19012345679012346
LEVEL,market,108,pass4b,MAD,0.16666666666666666,0.2345679012345679
LEVEL,market,108,sign_holds,SD,0.49074074074074076,0.9048027444253859
LEVEL,market,108,sign_holds,IQR,0.49074074074074076,0.823156089193825
LEVEL,market,108,sign_holds,SDDIFF,0.49074074074074076,0.8298456260720412
LEVEL,market,108,sign_holds,MAD,0.49074074074074076,0.9048027444253859
LEVEL,name,216,pass4a,SD,0.023148148148148147,0.7355450236966825
LEVEL,name,216,pass4a,IQR,0.023148148148148147,0.6644549763033175
LEVEL,name,216,pass4a,SDDIFF,0.023148148148148147,0.7090047393364929
LEVEL,name,216,pass4a,MAD,0.023148148148148147,0.6616113744075829
LEVEL,name,216,pass4b,SD,0.14814814814814814,0.5190217391304348
LEVEL,name,216,pass4b,IQR,0.14814814814814814,0.49014945652173914
LEVEL,name,216,pass4b,SDDIFF,0.14814814814814814,0.4898097826086957
LEVEL,name,216,pass4b,MAD,0.14814814814814814,0.520889945652174
LEVEL,name,216,sign_holds,SD,0.6296296296296297,0.44862132352941175
LEVEL,name,216,sign_holds,IQR,0.6296296296296297,0.50625
LEVEL,name,216,sign_holds,SDDIFF,0.6296296296296297,0.46976102941176473
LEVEL,name,216,sign_holds,MAD,0.6296296296296297,0.46020220588235294
SHAPE,market-DG,108,pass4a,SD,0.009259259259259259,0.34579439252336447
SHAPE,market-DG,108,pass4a,IQR,0.009259259259259259,0.2757009345794392
SHAPE,market-DG,108,pass4a,SDDIFF,0.009259259259259259,0.21962616822429906
SHAPE,market-DG,108,pass4a,MAD,0.009259259259259259,0.34579439252336447
SHAPE,market-DG,108,pass4b,SD,0.16666666666666666,0.23425925925925925
SHAPE,market-DG,108,pass4b,IQR,0.16666666666666666,0.3
SHAPE,market-DG,108,pass4b,SDDIFF,0.16666666666666666,0.19012345679012346
SHAPE,market-DG,108,pass4b,MAD,0.16666666666666666,0.2345679012345679
SHAPE,market-DG,108,sign_holds,SD,0.49074074074074076,0.9048027444253859
SHAPE,market-DG,108,sign_holds,IQR,0.49074074074074076,0.823156089193825
SHAPE,market-DG,108,sign_holds,SDDIFF,0.49074074074074076,0.8298456260720412
SHAPE,market-DG,108,sign_holds,MAD,0.49074074074074076,0.9048027444253859
SHAPE,name-DG,108,pass4a,SD,0.046296296296296294,0.458252427184466
SHAPE,name-DG,108,pass4a,IQR,0.046296296296296294,0.312621359223301
SHAPE,name-DG,108,pass4a,SDDIFF,0.046296296296296294,0.40388349514563104
SHAPE,name-DG,108,pass4a,MAD,0.046296296296296294,0.3067961165048544
SHAPE,name-DG,108,pass4b,SD,0.14814814814814814,0.5869565217391305
SHAPE,name-DG,108,pass4b,IQR,0.14814814814814814,0.4436141304347826
SHAPE,name-DG,108,pass4b,SDDIFF,0.14814814814814814,0.45991847826086957
SHAPE,name-DG,108,pass4b,MAD,0.14814814814814814,0.5631793478260869
SHAPE,name-DG,108,sign_holds,SD,0.5925925925925926,0.39311079545454547
SHAPE,name-DG,108,sign_holds,IQR,0.5925925925925926,0.6022727272727273
SHAPE,name-DG,108,sign_holds,SDDIFF,0.5925925925925926,0.4928977272727273
SHAPE,name-DG,108,sign_holds,MAD,0.5925925925925926,0.4325284090909091
SHAPE,name-RS,108,pass4a,SD,0.0,
SHAPE,name-RS,108,pass4a,IQR,0.0,
SHAPE,name-RS,108,pass4a,SDDIFF,0.0,
SHAPE,name-RS,108,pass4a,MAD,0.0,
SHAPE,name-RS,108,pass4b,SD,0.14814814814814814,0.4891304347826087
SHAPE,name-RS,108,pass4b,IQR,0.14814814814814814,0.516983695652174
SHAPE,name-RS,108,pass4b,SDDIFF,0.14814814814814814,0.499320652173913
SHAPE,name-RS,108,pass4b,MAD,0.14814814814814814,0.5203804347826086
SHAPE,name-RS,108,sign_holds,SD,0.6666666666666666,0.5671296296296297
SHAPE,name-RS,108,sign_holds,IQR,0.6666666666666666,0.5817901234567902
SHAPE,name-RS,108,sign_holds,SDDIFF,0.6666666666666666,0.5474537037037037
SHAPE,name-RS,108,sign_holds,MAD,0.6666666666666666,0.5729166666666666
