panel,book,bar,first_exceed_days,frac_within,max_dev_252d
U56,LIVE,0.0005,1,0.05952380952380952,0.03063823097131957
U56,LIVE,0.001,1,0.09523809523809523,0.03063823097131957
U56,LIVE,0.005,3,0.5198412698412699,0.03063823097131957
U56,LIVE,0.01,67,0.8095238095238095,0.03063823097131957
U56,LIVE,0.02,110,0.9484126984126984,0.03063823097131957
U56,LIVE,0.05,-1,1.0,0.03063823097131957
U56,CAND20,0.0005,1,0.05555555555555555,0.0436578560921439
U56,CAND20,0.001,1,0.0873015873015873,0.0436578560921439
U56,CAND20,0.005,27,0.2619047619047619,0.0436578560921439
U56,CAND20,0.01,67,0.373015873015873,0.0436578560921439
U56,CAND20,0.02,108,0.6666666666666666,0.0436578560921439
U56,CAND20,0.05,-1,1.0,0.0436578560921439
B136,LIVE,0.0005,1,0.051587301587301584,0.035754435009654584
B136,LIVE,0.001,1,0.1111111111111111,0.035754435009654584
B136,LIVE,0.005,16,0.3968253968253968,0.035754435009654584
B136,LIVE,0.01,86,0.49603174603174605,0.035754435009654584
B136,LIVE,0.02,105,0.7420634920634921,0.035754435009654584
B136,LIVE,0.05,-1,1.0,0.035754435009654584
B136,CAND20,0.0005,1,0.04365079365079365,0.07485381536777125
B136,CAND20,0.001,1,0.06349206349206349,0.07485381536777125
B136,CAND20,0.005,17,0.3055555555555556,0.07485381536777125
B136,CAND20,0.01,40,0.46825396825396826,0.07485381536777125
B136,CAND20,0.02,64,0.6706349206349206,0.07485381536777125
B136,CAND20,0.05,243,0.9642857142857143,0.07485381536777125
