m,j,H2_SEL,H2_UND,H2_BILL,H2_dS,H2_resid,H2_SEL_exact,H2_UND_exact,FULL_SEL,FULL_UND,FULL_BILL,FULL_dS,turn_per_yr,gross
0,1,0.10775151880813848,-0.05675539394487261,-0.04432096072416235,0.006675164139103518,2.498001805406602e-16,0.15324244464434694,-0.10224631978108083,0.2519028733370263,-0.06437504611091496,-0.04443665572318852,0.14309117150292283,6.273266422151183,0.7391653706699528
0,2,0.09220239963659976,-0.0526810924598484,-0.06598608372929333,-0.02646477655254198,9.71445146547012e-17,0.13706244000526813,-0.09754113282851687,0.21668326043575192,-0.05956874986757775,-0.06770953509802205,0.08940497547015214,9.502071866990287,0.739056051725447
0,3,0.1113002751774158,-0.04214747559265203,-0.08212286066333745,-0.01297006107857368,2.220446049250313e-16,0.15664348242638695,-0.08749068284162297,0.2075507786330614,-0.05128234584185446,-0.08462102865291687,0.07164740413829007,11.757999682497845,0.7390504236449578
0,5,0.08868683644891356,-0.03998344606795005,-0.09616080965123687,-0.04745741927027336,2.0816681711721685e-16,0.13422077025122336,-0.08551737987025965,0.20369004689707834,-0.04956326184980655,-0.09755547435469188,0.056571310692579924,13.527496783013882,0.7390495209939661
0,999,0.11438158029149981,-0.039489341864959414,-0.09794701237409645,-0.023054773947556062,8.326672684688674e-17,0.15999558979390008,-0.08510335136735961,0.2164004262576825,-0.0493138526558435,-0.09937932607783963,0.06770724752399937,13.776362615185906,0.7390521163050053
2,1,0.10428083166078228,-0.05539766882764432,-0.04401663994940205,0.004866522883735902,2.3592239273284576e-16,0.1498729633322674,-0.10098980049912921,0.24864765035539643,-0.06381477789991338,-0.044122741525809396,0.14071013092967366,6.224710106900199,0.739163234256279
2,2,0.07912171806813523,-0.05162395066971698,-0.061830538846657686,-0.03433277144823943,1.1796119636642288e-16,0.12352992622206765,-0.09603215882364928,0.2009953956343714,-0.05858106316394131,-0.06311598699346112,0.07929834547696901,8.848697482603551,0.7392049175234933
2,3,0.10139469464101758,-0.044172231734546145,-0.0721109797685023,-0.014888516862030854,2.636779683484747e-16,0.14606560710836217,-0.08884314420189046,0.21041951334983183,-0.053247642430263475,-0.07341239451214625,0.0837594764074221,10.22666155870921,0.739205293631833
2,5,0.10725082438416333,-0.041045381447235414,-0.07910635212747291,-0.012900909190544985,3.3306690738754696e-16,0.15165463900862486,-0.0854491960716966,0.21421173983697783,-0.05043211955557402,-0.07960039566666345,0.08417922461474037,11.052138524696126,0.7392474582568381
2,999,0.11589881204301435,-0.04038264681726686,-0.0795164240385599,-0.004000258812812407,2.0816681711721685e-16,0.16038206231288174,-0.08486589708713405,0.2158731248515521,-0.049993904830915835,-0.08015911841781419,0.08572010160282206,11.123916879947497,0.7392478386720508
5,1,0.09318262987255538,-0.05538627408157636,-0.042899762803501454,-0.005103407012522432,3.191891195797325e-16,0.13834269814223593,-0.10054634235125659,0.24752958433465164,-0.06405200568382954,-0.04292670014130391,0.1405508785095182,6.058405105578006,0.7392474951751044
5,2,0.10822042948955991,-0.05068596802208864,-0.05541223355527276,0.0021222279121985155,6.938893903907228e-18,0.1525558762626206,-0.09502141479514932,0.2298801876647626,-0.058714350660957926,-0.05624629142746591,0.11491954557633877,7.889318417517695,0.7394364831428973
5,3,0.08272002160095693,-0.04497227719517374,-0.060519670378821194,-0.02277192597303801,1.942890293094024e-16,0.12691364505991787,-0.08916590065413449,0.21237313421381443,-0.05457375654113883,-0.06167532646616214,0.09612405120651346,8.608247873652717,0.7394611826601742
