verdict_set,stat,3,5,9,17,33
V_BAND,CAGR,23,25,9,12,8
V_BAND,MaxDD,26,26,19,18,7
V_BAND,Sharpe,35,33,19,18,12
V_RESOLVE,CAGR,15,17,13,13,13
V_RESOLVE,MaxDD,16,19,16,11,10
V_RESOLVE,Sharpe,20,39,15,18,9
V_SIGN,CAGR,16,18,12,12,9
V_SIGN,MaxDD,25,24,15,12,10
V_SIGN,Sharpe,33,22,22,13,10
V_TSTAT,CAGR,17,18,12,12,8
V_TSTAT,MaxDD,25,18,18,15,9
V_TSTAT,Sharpe,36,26,27,18,11
