panel,rival,n,PANEL_wins,frac,mean_dMAE,p_sign
SMALL439,ZERO,36,36,1.0,-0.10324617777898482,2.9103830456733704e-11
SMALL439,GLOBAL,36,0,0.0,0.09047417379500979,2.9103830456733704e-11
SMALL439,PANELGATE,36,19,0.5277777777777778,-0.003773993913839455,0.8679394004284404
SMALL439,CELLIS,36,15,0.4166666666666667,0.052180315350873606,0.40503224614076316
U56,ZERO,36,30,0.8333333333333334,-0.1529019349277411,6.960169412195683e-05
U56,GLOBAL,36,27,0.75,-0.015074301490271114,0.00393317302223295
U56,PANELGATE,36,13,0.3611111111111111,0.0066426438117273,0.13249816396273673
U56,CELLIS,36,27,0.75,-0.16263261256163247,0.00393317302223295
B136,ZERO,36,36,1.0,-0.25636556315035575,2.9103830456733704e-11
B136,GLOBAL,36,36,1.0,-0.061183357558279736,2.9103830456733704e-11
B136,PANELGATE,36,17,0.4722222222222222,0.0005776152070550518,0.8679394004284404
B136,CELLIS,36,19,0.5277777777777778,-0.10380226768189431,0.8679394004284404
POOLED,ZERO,108,102,0.9444444444444444,-0.17083789195236057,1.2514492494239994e-23
POOLED,GLOBAL,108,63,0.5833333333333334,0.004738838248819648,0.10143273504110499
POOLED,PANELGATE,108,49,0.4537037037037037,0.0011487550349809654,0.38657260898826085
POOLED,CELLIS,108,61,0.5648148148148148,-0.07141818829755106,0.21076579397878198
