panel,book,cost,dial,npts,degenerate,f_n,i_n,f_lo,f_hi,i_lo,i_hi,f_vals,i_vals,f_contig,i_contig,set_contain
u56,EWall,10.0,band,5,False,0,0,,,,,,,,,
u56,EWall,10.0,n,5,True,0,5,,,0.0,4.0,,3|5|10|20|40,,True,
u56,EWall,10.0,gross,19,False,1,4,15.0,15.0,15.0,18.0,0.85,0.85|0.9|0.95|1.0,True,True,True
u56,EWall,10.0,vol,7,False,3,4,2.0,4.0,3.0,6.0,0.5|0.6|0.8,0.6|0.8|1.0|1.2,True,True,False
u56,EWall,10.0,K,6,False,0,0,,,,,,,,,
u56,EWall,25.0,band,5,False,0,0,,,,,,,,,
u56,EWall,25.0,n,5,True,0,5,,,0.0,4.0,,3|5|10|20|40,,True,
u56,EWall,25.0,gross,19,False,1,4,15.0,15.0,15.0,18.0,0.85,0.85|0.9|0.95|1.0,True,True,True
u56,EWall,25.0,vol,7,False,2,4,3.0,4.0,3.0,6.0,0.6|0.8,0.6|0.8|1.0|1.2,True,True,True
u56,EWall,25.0,K,6,False,0,0,,,,,,,,,
u56,TOP20,10.0,band,5,False,5,1,0.0,4.0,4.0,4.0,0.0|2.0|3.0|5.0|8.0,8.0,True,True,False
u56,TOP20,10.0,n,5,False,0,2,,,3.0,4.0,,20|40,,True,
u56,TOP20,10.0,gross,19,False,5,6,12.0,16.0,13.0,18.0,0.7|0.75|0.8|0.85|0.9,0.75|0.8|0.85|0.9|0.95|1.0,True,True,False
u56,TOP20,10.0,vol,7,False,5,5,1.0,5.0,2.0,6.0,0.4|0.5|0.6|0.8|1.0,0.5|0.6|0.8|1.0|1.2,True,True,False
u56,TOP20,10.0,K,6,False,4,1,1.0,4.0,2.0,2.0,100|150|200|250,150,True,True,False
u56,TOP20,25.0,band,5,False,4,0,0.0,3.0,,,0.0|2.0|3.0|5.0,,True,,
u56,TOP20,25.0,n,5,False,0,1,,,4.0,4.0,,40,,True,
u56,TOP20,25.0,gross,19,False,2,0,14.0,15.0,,,0.8|0.85,,True,,
u56,TOP20,25.0,vol,7,False,4,0,2.0,5.0,,,0.5|0.6|0.8|1.0,,True,,
u56,TOP20,25.0,K,6,False,2,0,2.0,3.0,,,150|200,,True,,
broad,EWall,10.0,band,5,False,0,0,,,,,,,,,
broad,EWall,10.0,n,5,True,0,0,,,,,,,,,
broad,EWall,10.0,gross,19,False,0,3,,,13.0,15.0,,0.75|0.8|0.85,,True,
broad,EWall,10.0,vol,7,False,2,5,2.0,3.0,1.0,5.0,0.5|0.6,0.4|0.5|0.6|0.8|1.0,True,True,True
broad,EWall,10.0,K,6,False,0,0,,,,,,,,,
broad,EWall,25.0,band,5,False,0,0,,,,,,,,,
broad,EWall,25.0,n,5,True,0,0,,,,,,,,,
broad,EWall,25.0,gross,19,False,0,3,,,13.0,15.0,,0.75|0.8|0.85,,True,
broad,EWall,25.0,vol,7,False,2,4,2.0,3.0,2.0,5.0,0.5|0.6,0.5|0.6|0.8|1.0,True,True,True
broad,EWall,25.0,K,6,False,0,0,,,,,,,,,
broad,TOP20,10.0,band,5,False,0,5,,,0.0,4.0,,0.0|2.0|3.0|5.0|8.0,,True,
broad,TOP20,10.0,n,5,False,0,2,,,3.0,4.0,,20|40,,True,
broad,TOP20,10.0,gross,19,False,1,6,13.0,13.0,13.0,18.0,0.75,0.75|0.8|0.85|0.9|0.95|1.0,True,True,True
broad,TOP20,10.0,vol,7,False,1,3,4.0,4.0,3.0,6.0,0.8,0.6|1.0|1.2,True,False,False
broad,TOP20,10.0,K,6,False,0,3,,,3.0,5.0,,200|250|300,,True,
broad,TOP20,25.0,band,5,False,0,0,,,,,,,,,
broad,TOP20,25.0,n,5,False,0,0,,,,,,,,,
broad,TOP20,25.0,gross,19,False,0,0,,,,,,,,,
broad,TOP20,25.0,vol,7,False,0,0,,,,,,,,,
broad,TOP20,25.0,K,6,False,0,0,,,,,,,,,
small,EWall,10.0,band,5,False,0,0,,,,,,,,,
small,EWall,10.0,n,5,True,0,0,,,,,,,,,
small,EWall,10.0,gross,19,False,0,0,,,,,,,,,
small,EWall,10.0,vol,7,False,0,0,,,,,,,,,
small,EWall,10.0,K,6,False,0,0,,,,,,,,,
small,EWall,25.0,band,5,False,0,0,,,,,,,,,
small,EWall,25.0,n,5,True,0,0,,,,,,,,,
small,EWall,25.0,gross,19,False,0,0,,,,,,,,,
small,EWall,25.0,vol,7,False,0,0,,,,,,,,,
small,EWall,25.0,K,6,False,0,0,,,,,,,,,
small,TOP20,10.0,band,5,False,0,0,,,,,,,,,
small,TOP20,10.0,n,5,False,0,0,,,,,,,,,
small,TOP20,10.0,gross,19,False,0,0,,,,,,,,,
small,TOP20,10.0,vol,7,False,0,0,,,,,,,,,
small,TOP20,10.0,K,6,False,0,0,,,,,,,,,
small,TOP20,25.0,band,5,False,0,0,,,,,,,,,
small,TOP20,25.0,n,5,False,0,0,,,,,,,,,
small,TOP20,25.0,gross,19,False,0,0,,,,,,,,,
small,TOP20,25.0,vol,7,False,0,0,,,,,,,,,
small,TOP20,25.0,K,6,False,0,0,,,,,,,,,
