base,panel,n_unres,eta2_lad,eta2_stat,sst,margin_x,rel_eta2_lad,rel_eta2_stat,rel_margin_x,conc_lad,conc_stat,lad_wins,lad_wins_rel,lad_wins_conc,degenerate,inf_N,inf_H,inf_GROSS,inf_CADENCE
11161116,U56,9.0,0.8095238095238095,0.047619047619047616,3.9375,17.0,0.575153345798068,0.1177025533058385,4.886498462812345,0.875,0.37499999999999994,True,True,True,False,0,4,1,4
11161116,B136,9.0,0.5555555555555556,0.047619047619047616,3.9375,11.666666666666668,0.9737644744440945,0.006642672334561109,146.59227873964258,0.7083333333333333,0.37499999999999994,True,True,True,False,2,4,0,3
11161116,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.2892885544779695,0.2200967844354094,1.3143697452011862,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
11191119,U56,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.39116588524302776,0.1869574251204647,2.092272532053663,0.8333333333333334,0.41666666666666663,True,True,True,False,0,4,2,4
11191119,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9737644744440945,0.006642672334561109,146.59227873964258,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
11191119,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.30552208026602623,0.20294607890697253,1.5054347534650967,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
20260916,U56,8.0,0.625,0.125,4.0,5.0,0.6465347840417548,0.09640648401328675,6.706341286677868,0.75,0.41666666666666663,True,True,True,False,0,3,1,4
20260916,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9737644744440945,0.006642672334561109,146.59227873964258,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
20260916,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.2892885544779695,0.2200967844354094,1.3143697452011862,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
424242,U56,8.0,0.625,0.125,4.0,5.0,0.64710387957542,0.1045993791218055,6.186498285251488,0.75,0.41666666666666663,True,True,True,False,0,3,1,4
424242,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9737644744440945,0.006642672334561109,146.59227873964258,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
424242,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.30552208026602623,0.20294607890697253,1.5054347534650967,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
987654321,U56,8.0,0.625,0.125,4.0,5.0,0.573450959638105,0.11303482641154801,5.073223694352658,0.75,0.41666666666666663,True,True,True,False,0,3,1,4
987654321,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9444789916188386,0.014075193918546487,67.10237863041625,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
987654321,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.2892885544779695,0.2200967844354094,1.3143697452011862,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
31337,U56,9.0,0.42857142857142855,0.047619047619047616,3.9375,9.0,0.6277689705194973,0.10990686696678106,5.711826638723476,0.625,0.37499999999999994,True,True,True,False,1,3,1,4
31337,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9444789916188386,0.014075193918546487,67.10237863041625,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
31337,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.30552208026602623,0.20294607890697253,1.5054347534650967,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
1000003,U56,10.0,0.6,0.06666666666666667,3.75,9.0,0.5617193006985641,0.12889530298169316,4.357950116912673,0.75,0.41666666666666663,True,True,True,False,1,4,1,4
1000003,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9444789916188386,0.014075193918546487,67.10237863041625,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
1000003,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.2892885544779695,0.2200967844354094,1.3143697452011862,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
777777,U56,9.0,0.5555555555555556,0.1746031746031746,3.9375,3.181818181818182,0.3951207442543596,0.1812163940952547,2.1803807885431605,0.7083333333333333,0.4583333333333333,True,True,True,False,0,3,2,4
777777,B136,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9737644744440945,0.006642672334561109,146.59227873964258,0.8333333333333333,0.41666666666666663,True,True,True,False,2,4,0,4
777777,SMALL,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.2892885544779695,0.2200967844354094,1.3143697452011862,0.5416666666666666,0.37499999999999994,True,True,True,False,0,2,2,3
