constr,tape,panel,mech,lam,frac_ladder,gross,anchor_MAXDD,anchor_VOL,anchor_CAGR,anchor_SHARPE,within,between,ratio,R_SPREAD,R_SD
C_POOLED,T_OWN,U56,M_GROSS,0.5,F_1140,0.375,-9.914377047634149,6.746330276821642,7.735149780944917,1.1383070465049692,2.7362768706141463,2.2930966240662602,1.193267148839987,1.6098987619451632,1.5471451185146268
C_POOLED,T_OWN,U56,M_GROSS,0.5,F_FINE,0.375,-9.914377047634149,6.746330276821642,7.735149780944917,1.1383070465049692,2.6876114056690863,3.6777272707556214,0.7307805086691197,1.1160194880567875,1.475433227398646
C_POOLED,T_OWN,U56,M_GROSS,0.5,F_FINER,0.375,-9.914377047634149,6.746330276821642,7.735149780944917,1.1383070465049692,2.4284842547249346,3.693648194470123,0.6574757873152876,1.1361361487266874,1.598290388580691
C_POOLED,T_OWN,B136,M_GROSS,0.5,F_1140,0.375,-10.760892936760468,7.52260429854774,7.994344102053463,1.0601625125989689,3.0746303131346,2.403737201407841,1.2791041846562197,1.7869075477874852,1.6977076587832511
C_POOLED,T_OWN,B136,M_GROSS,0.5,F_FINE,0.375,-10.760892936760468,7.52260429854774,7.994344102053463,1.0601625125989689,2.780602282888367,3.751063740116633,0.7412836665905093,1.341357910289652,1.6237601281667045
C_POOLED,T_OWN,B136,M_GROSS,0.5,F_FINER,0.375,-10.760892936760468,7.52260429854774,7.994344102053463,1.0601625125989689,2.6733383865675027,3.975534767665744,0.672447492677109,1.3032608782569997,1.6798466417820515
C_POOLED,T_OWN,SMALL,M_GROSS,0.5,F_1140,0.375,-19.293761263267694,9.101858262559274,4.274206786366275,0.505483034501934,4.65108412862125,5.969758727417183,0.779107555429387,1.0793137791767127,1.1265068226701815
C_POOLED,T_OWN,SMALL,M_GROSS,0.5,F_FINE,0.375,-19.293761263267694,9.101858262559274,4.274206786366275,0.505483034501934,4.74975501550318,8.769357986368691,0.5416308722812225,0.8676790524053509,1.1103119576445366
C_POOLED,T_OWN,SMALL,M_GROSS,0.5,F_FINER,0.375,-19.293761263267694,9.101858262559274,4.274206786366275,0.505483034501934,4.48773794356768,9.818350660868095,0.4570765598598914,0.8923251916381869,1.1471050040169786
C_POOLED,T_OWN,U56,M_GROSS,0.75,F_1140,0.5625,-14.598142894424115,10.12533966545256,11.648052722308844,1.1390995354335967,3.9643421352651753,3.3802109080959717,1.1728091066063795,1.5813001197825254,1.5279072573399843
C_POOLED,T_OWN,U56,M_GROSS,0.75,F_FINE,0.5625,-14.598142894424115,10.12533966545256,11.648052722308844,1.1390995354335967,3.9032959482407534,5.371590908003771,0.7266554760201059,1.107030171273346,1.4668983672035543
C_POOLED,T_OWN,U56,M_GROSS,0.75,F_FINER,0.5625,-14.598142894424115,10.12533966545256,11.648052722308844,1.1390995354335967,3.531958723226664,5.411593477304411,0.6526651970513463,1.128537626674864,1.5973213671264426
C_POOLED,T_OWN,B136,M_GROSS,0.75,F_1140,0.5625,-15.846560002786036,11.289932395109588,12.01675382393097,1.061871486530651,4.489590521162347,3.462838310064031,1.2965059639412764,1.8013459053705914,1.7196457205534985
