panel,basis,target,edge_W,edge_M,DiD,OOS_edge_W,OOS_edge_M,OOS_DiD,flat_rebate_full,flat_rebate_OOS,scaler_survives_M
U56,B_CONST,0.06,0.02914015811008097,0.055375009165058,0.026234851054977026,0.026564996250751483,0.04861675659466225,0.022051760343910765,-0.10526674299431815,-0.10479035222500221,True
U56,B_CONST,0.08,0.02675666736498261,0.020021498780181446,-0.0067351685848011655,0.01663370610519621,-0.02194544788294084,-0.03857915398813705,-0.10526674299431815,-0.10479035222500221,False
U56,B_CONST,0.1,0.009524345886530616,0.009114334374187516,-0.0004100115123431003,0.002007814820885967,-0.022042168040188992,-0.02404998286107496,-0.10526674299431815,-0.10479035222500221,False
U56,B_CONST,0.12,-0.0025017549397039485,-0.0015579547098063529,0.0009438002298975956,-0.008730426587592932,-0.023478508030237544,-0.014748081442644612,-0.10526674299431815,-0.10479035222500221,False
U56,B_CONST,0.14,-0.008588785754102934,-0.008157088653726552,0.00043169710037638254,-0.015445623585795154,-0.023368634530337218,-0.007923010944542064,-0.10526674299431815,-0.10479035222500221,False
B136,B_CONST,0.06,0.016552408213967196,0.05551616847159524,0.038963760257628044,-0.039800563934750954,0.05979031222089448,0.09959087615564544,0.028295966000094985,0.07495831064856029,True
B136,B_CONST,0.08,0.018032628988227106,0.05618244405923778,0.03814981507101067,-0.02587006337143105,0.04632881967260327,0.07219888304403432,0.028295966000094985,0.07495831064856029,True
B136,B_CONST,0.1,0.005235960383885407,0.04297328712827708,0.037737326744391675,-0.02205647443108516,0.025479893724701608,0.04753636815578677,0.028295966000094985,0.07495831064856029,True
B136,B_CONST,0.12,-0.005901464038366777,0.008036788382655091,0.013938252421021868,-0.02076567141367236,-0.020901589739986237,-0.00013591832631387746,0.028295966000094985,0.07495831064856029,False
B136,B_CONST,0.14,0.0007312723493504425,-0.0035528244616247484,-0.004284096810975191,-0.002299067605176175,-0.026309981889276024,-0.02401091428409985,0.028295966000094985,0.07495831064856029,False
SMALL,B_CONST,0.06,-0.05901662942219138,-0.028139248446279908,0.030877380975911473,-0.10349591176373818,-0.15831728388152205,-0.05482137211778387,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_CONST,0.08,-0.0729659640980217,-0.04613546655087575,0.02683049754714595,-0.1109935978978025,-0.1368928412681286,-0.02589924337032609,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_CONST,0.1,-0.06320393401254404,-0.044911901601052906,0.018292032411491133,-0.0984680922687653,-0.1039588937087065,-0.005490801439941212,-0.07963508859778179,-0.16581422173477567,False
