panel,bps,narrow_4b,wide_4b,wall_falls,narrow_4a,wide_4a,best_wide_Sharpe,best_wide_arm
U56,10,1 of 4,7 of 48,False,0 of 4,0 of 48,1.212906325739319,M/g1.0/n20
U56,25,0 of 4,3 of 48,True,0 of 4,0 of 48,1.1646480567413846,M/g1.0/n20
B136,10,0 of 4,2 of 48,True,0 of 4,0 of 48,1.1256144969630044,M/g1.0/n50
B136,25,0 of 4,2 of 48,True,0 of 4,0 of 48,1.07437900088618,M/g1.0/n50
SMALL439,10,0 of 4,0 of 48,False,0 of 4,0 of 48,0.7492644321022353,W/g1.0/n20
SMALL439,25,0 of 4,0 of 48,False,0 of 4,0 of 48,0.694273514484387,M/g1.0/n5
