T,panel,delta,n_elig,n_binds,n_rungs
2.0,U56,0.044785728331677266,33,6,7
2.0,B136,0.36808884614776516,29,7,7
2.0,B80held,0.04785826788355785,28,1,7
2.0,SMALL439,0.00021981043173835424,18,1,7
3.0,U56,0.044413336978269324,43,2,7
3.0,B136,-0.012936002613783582,36,7,7
3.0,B80held,0.04785826788355785,38,1,7
3.0,SMALL439,0.0,29,0,7
4.0,U56,-0.0021097066070265846,48,2,7
4.0,B136,-0.006029050748585507,42,7,7
4.0,B80held,-0.00011926973951625897,44,1,7
4.0,SMALL439,0.0,35,0,7
5.0,U56,-0.0021097066070265846,52,2,7
5.0,B136,0.0,48,0,7
5.0,B80held,0.0,48,0,7
5.0,SMALL439,0.0,41,0,7
6.2,U56,-0.0010442390800333712,55,2,7
6.2,B136,0.0,49,0,7
6.2,B80held,0.0,51,0,7
6.2,SMALL439,0.0,45,0,7
8.0,U56,0.0,58,0,7
8.0,B136,0.0,54,0,7
8.0,B80held,0.0,56,0,7
8.0,SMALL439,0.0,48,0,7
10.0,U56,0.0,60,0,7
10.0,B136,0.0,56,0,7
10.0,B80held,0.0,58,0,7
10.0,SMALL439,0.0,51,0,7
12.0,U56,0.0,60,0,7
12.0,B136,0.0,58,0,7
12.0,B80held,0.0,60,0,7
12.0,SMALL439,0.0,55,0,7
15.0,U56,0.0,62,0,7
15.0,B136,0.0,60,0,7
15.0,B80held,0.0,61,0,7
15.0,SMALL439,0.0,57,0,7
20.0,U56,0.0,63,0,7
20.0,B136,0.0,62,0,7
20.0,B80held,0.0,63,0,7
20.0,SMALL439,0.0,59,0,7
inf,U56,0.0,63,0,7
inf,B136,0.0,63,0,7
inf,B80held,0.0,63,0,7
inf,SMALL439,0.0,63,0,7
