gate,value,passed
G1 r(c)=g-tn*c/1e4 == engine.backtest at 10 bps (U56 N=20 H=126),1.3877787807814457e-17,True
G1b r(c)=g-tn*c/1e4 == engine.backtest at 25 bps (U56 N=20 H=126),1.3877787807814457e-17,True
G1c r(c)=g-tn*c/1e4 == engine.backtest at 50 bps (U56 N=20 H=126),1.3877787807814457e-17,True
G2 CROSS-RUN vs 936/1071/1082's committed W/H126 N=20 triple @ 10 bps,3.1831294189377246e-07,True
G3 CROSS-RUN SPY OOS triple,0.00017024209187355144,True
G5 live RULES v2 MaxDD @ 10 bps == committed -12.05%,4.949323437114517e-05,True
G7 the diagnostic null's seed recipe is deterministic,0.0,True
G4 CROSS-RUN 1086's committed U56 N=12 H=21 candidate (full + OOS triples) @ 10 bps,0.0,True
G4b CROSS-RUN 1086's committed candidate turnover 7.19x/yr,0.00036333434681079524,True
G4c CROSS-RUN 1086's committed N=12 H=126 turnover 3.04x/yr,0.0006400127387391485,True
G6 CAGR is non-increasing in the cost rung at every one of the 54 cells,0.0,True
G8 the cost axis is LIVE (max U56 CAGR spread across rungs >= 1 pp),0.09108969968582903,True
