sample,k,bars,n,n_pass,rate,new_vs_full,new_rate
FRESH-real (84),1,H1,84,52,0.6190476190476191,45,0.5357142857142857
FRESH-real (84),1,H2,84,48,0.5714285714285714,41,0.4880952380952381
FRESH-real (84),1,OOS,84,52,0.6190476190476191,45,0.5357142857142857
FRESH-real (84),1,DD,84,66,0.7857142857142857,59,0.7023809523809523
FRESH-real (84),1,CAGR,84,17,0.20238095238095238,10,0.11904761904761904
FRESH-real (84),2,H1+H2,84,44,0.5238095238095238,37,0.44047619047619047
FRESH-real (84),2,H1+OOS,84,48,0.5714285714285714,41,0.4880952380952381
FRESH-real (84),2,H1+DD,84,45,0.5357142857142857,38,0.4523809523809524
FRESH-real (84),2,H1+CAGR,84,15,0.17857142857142858,8,0.09523809523809523
FRESH-real (84),2,H2+OOS,84,48,0.5714285714285714,41,0.4880952380952381
FRESH-real (84),2,H2+DD,84,43,0.5119047619047619,36,0.42857142857142855
FRESH-real (84),2,H2+CAGR,84,13,0.15476190476190477,6,0.07142857142857142
FRESH-real (84),2,OOS+DD,84,46,0.5476190476190477,39,0.4642857142857143
FRESH-real (84),2,OOS+CAGR,84,15,0.17857142857142858,8,0.09523809523809523
FRESH-real (84),2,DD+CAGR,84,9,0.10714285714285714,2,0.023809523809523808
FRESH-real (84),3,H1+H2+OOS,84,44,0.5238095238095238,37,0.44047619047619047
FRESH-real (84),3,H1+H2+DD,84,40,0.47619047619047616,33,0.39285714285714285
FRESH-real (84),3,H1+H2+CAGR,84,11,0.13095238095238096,4,0.047619047619047616
FRESH-real (84),3,H1+OOS+DD,84,43,0.5119047619047619,36,0.42857142857142855
FRESH-real (84),3,H1+OOS+CAGR,84,13,0.15476190476190477,6,0.07142857142857142
FRESH-real (84),3,H1+DD+CAGR,84,8,0.09523809523809523,1,0.011904761904761904
FRESH-real (84),3,H2+OOS+DD,84,43,0.5119047619047619,36,0.42857142857142855
FRESH-real (84),3,H2+OOS+CAGR,84,13,0.15476190476190477,6,0.07142857142857142
FRESH-real (84),3,H2+DD+CAGR,84,8,0.09523809523809523,1,0.011904761904761904
FRESH-real (84),3,OOS+DD+CAGR,84,9,0.10714285714285714,2,0.023809523809523808
FRESH-real (84),4,H1+H2+OOS+DD,84,40,0.47619047619047616,33,0.39285714285714285
FRESH-real (84),4,H1+H2+OOS+CAGR,84,11,0.13095238095238096,4,0.047619047619047616
FRESH-real (84),4,H1+H2+DD+CAGR,84,7,0.08333333333333333,0,0.0
FRESH-real (84),4,H1+OOS+DD+CAGR,84,8,0.09523809523809523,1,0.011904761904761904
FRESH-real (84),4,H2+OOS+DD+CAGR,84,8,0.09523809523809523,1,0.011904761904761904
FRESH-real (84),5,H1+H2+OOS+DD+CAGR,84,7,0.08333333333333333,0,0.0
FRESH-control (12),1,H1,12,0,0.0,0,0.0
FRESH-control (12),1,H2,12,0,0.0,0,0.0
FRESH-control (12),1,OOS,12,0,0.0,0,0.0
FRESH-control (12),1,DD,12,6,0.5,6,0.5
FRESH-control (12),1,CAGR,12,6,0.5,6,0.5
FRESH-control (12),2,H1+H2,12,0,0.0,0,0.0
FRESH-control (12),2,H1+OOS,12,0,0.0,0,0.0
FRESH-control (12),2,H1+DD,12,0,0.0,0,0.0
FRESH-control (12),2,H1+CAGR,12,0,0.0,0,0.0
FRESH-control (12),2,H2+OOS,12,0,0.0,0,0.0
FRESH-control (12),2,H2+DD,12,0,0.0,0,0.0
FRESH-control (12),2,H2+CAGR,12,0,0.0,0,0.0
FRESH-control (12),2,OOS+DD,12,0,0.0,0,0.0
FRESH-control (12),2,OOS+CAGR,12,0,0.0,0,0.0
FRESH-control (12),2,DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),3,H1+H2+OOS,12,0,0.0,0,0.0
FRESH-control (12),3,H1+H2+DD,12,0,0.0,0,0.0
FRESH-control (12),3,H1+H2+CAGR,12,0,0.0,0,0.0
FRESH-control (12),3,H1+OOS+DD,12,0,0.0,0,0.0
FRESH-control (12),3,H1+OOS+CAGR,12,0,0.0,0,0.0
FRESH-control (12),3,H1+DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),3,H2+OOS+DD,12,0,0.0,0,0.0
FRESH-control (12),3,H2+OOS+CAGR,12,0,0.0,0,0.0
FRESH-control (12),3,H2+DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),3,OOS+DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),4,H1+H2+OOS+DD,12,0,0.0,0,0.0
FRESH-control (12),4,H1+H2+OOS+CAGR,12,0,0.0,0,0.0
FRESH-control (12),4,H1+H2+DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),4,H1+OOS+DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),4,H2+OOS+DD+CAGR,12,0,0.0,0,0.0
FRESH-control (12),5,H1+H2+OOS+DD+CAGR,12,0,0.0,0,0.0
CORPUS-pooled (6184),1,H1,6184,2284,0.3693402328589909,1962,0.31727037516170764
CORPUS-pooled (6184),1,H2,6184,1469,0.23754851228978008,1147,0.18547865459249677
CORPUS-pooled (6184),1,OOS,6184,1635,0.26439197930142305,1313,0.2123221216041397
CORPUS-pooled (6184),1,DD,6184,1652,0.26714100905562743,1330,0.21507115135834412
CORPUS-pooled (6184),1,CAGR,6184,2011,0.3251940491591203,1689,0.273124191461837
CORPUS-pooled (6184),2,H1+H2,6184,1286,0.20795601552393272,964,0.1558861578266494
