panel,family,q,w,depth,cadence,g_eff,gate_Sharpe,static_Sharpe,dSharpe,dOOS,dMaxDD
U56,QEXP,0.07,0,0.25,D,0.75,1.0355275260381134,1.0461461916022803,-0.010618665564166907,-0.018914978020816653,0.0
U56,QEXP,0.07,0,0.5,D,0.75,1.0244926262073843,1.0461461916022803,-0.021653565394895935,-0.038623639558098555,-0.0019843239650555455
U56,QEXP,0.07,0,1.0,D,0.75,1.0012174703299561,1.0461461916022803,-0.04492872127232417,-0.08028732678520734,-0.02567453659864327
U56,QROLL,0.07,252,0.25,D,0.73,1.1156980703460588,1.0461319449802309,0.06956612536582796,0.11154736260472053,0.010969529922706944
U56,QROLL,0.07,252,0.5,D,0.71,1.175130929605401,1.0461172431352772,0.1290136864701239,0.21559012512730868,0.02182469357993566
U56,QROLL,0.07,252,1.0,D,0.67,1.2333625458717437,1.0460864751078849,0.18727607076385877,0.3411094375047863,0.028758031843997056
U56,QROLL,0.07,504,0.25,D,0.73,1.0962521300037504,1.0461319449802309,0.05012018502351956,0.06444106939294802,0.0033940847806410712
U56,QROLL,0.07,504,0.5,D,0.71,1.1352617094552375,1.0461172431352772,0.08914446631996031,0.11656652727605499,0.0066579053665846155
U56,QROLL,0.07,504,1.0,D,0.67,1.1582030083058175,1.0460864751078849,0.11211653319793258,0.15024443420884248,0.012795037795873987
U56,QROLL,0.07,1008,0.25,D,0.74,1.0634609723545818,1.046139127547717,0.017321844806864828,0.021375707758954032,0.0005842466729030216
U56,QROLL,0.07,1008,0.5,D,0.73,1.0715751430600144,1.0461319449802309,0.02544319807978357,0.031617724546759485,0.0009631163467114234
U56,QROLL,0.07,1008,1.0,D,0.71,1.0536036006374985,1.0461172431352772,0.007486357502221264,0.009033174128590282,0.0011134676111770325
U56,QROLL,0.07,2016,0.25,D,0.74,1.0629970737336019,1.046139127547717,0.016857946185884876,0.03304008426120619,0.005428451505547716
U56,QROLL,0.07,2016,0.5,D,0.73,1.0729675202020135,1.0461319449802309,0.026835575221782593,0.05458059705881291,0.010733515947342842
U56,QROLL,0.07,2016,1.0,D,0.72,1.068394198712003,1.0461246428692295,0.02226955584277346,0.04939307820766192,0.02301271027163465
